title~views~uptime_y~uptime_m~uptime_d~link
Maria Clara e JP fazem o desafio do cubo de bal=C3=B5es~420,794~0~2~46~https://www.youtube.com/watch?v=3D7Ajsnm7jzPQ
Maria Clara finge ser m=C3=A9dica e salva o JP =E2=99=A5 Pretend Play With Doctor~2,355,435~0~2~55~https://www.youtube.com/watch?v=3Duh9gvt-lSRI
Maria Clara e JP brincam com uma roleta misteriosa de desafios.~1,464,929~0~2~60~https://www.youtube.com/watch?v=3DGJT8apfhaz0
Maria Clara e JP adivinham qual =C3=A9 a bebida na hist=C3=B3ria da m=C3=A1quina autom=C3=A1tica de sucos~5,094,625~0~2~67~https://www.youtube.com/watch?v=3DxiuixCh5jVo
Maria Clara e JP aprendem as horas do rel=C3=B3gio | Compilado de v=C3=ADdeos educativos~1,304,522~0~2~74~https://www.youtube.com/watch?v=3DNNyabK4cWno
MEU DOGUINHO =F0=9F=90=B6 M=C3=9ASICA MARIA CLARA E JP =E2=99=AB~3,825,370~0~3~76~https://www.youtube.com/watch?v=3DL9BQA3UQFZk
Maria Clara e JP em uma divertida viagem para o Alasca~5,263,997~0~3~76~https://www.youtube.com/watch?v=3DdJfA8pkfCcU
Maria Clara e JP ganham um novo cachorrinho =F0=9F=90=B6~6,411,252~0~3~76~https://www.youtube.com/watch?v=3DP1yr1miz1IY
Boneco JP acorda Maria Clara com instrumentos musicais~2,969,332~0~3~76~https://www.youtube.com/watch?v=3DCoHqQfN9oVY
Hist=C3=B3rias divertidas com Maria Clara e JP - 30min de Compilados Engra=C3=A7ados~6,046,356~0~3~76~https://www.youtube.com/watch?v=3D6xcleu2t3hI
Maria Clara e JP em uma hist=C3=B3ria engra=C3=A7ada da piscina no balde~10,616,099~0~4~107~https://www.youtube.com/watch?v=3DfTJmxrYo8eU
Maria Clara e seus amigos se divertem em um portal m=C3=A1gico!~3,852,819~0~4~107~https://www.youtube.com/watch?v=3Dz-bJLTcqiFY
Maria Clara e sua amiga v=C3=A3o ao cinema~2,561,673~0~4~107~https://www.youtube.com/watch?v=3DfRFe6VYhDRM
Maria Clara e JP =E2=99=AB Clipe Oficial Maria Clara e JP~5,879,068~0~4~107~https://www.youtube.com/watch?v=3DGmMfNLW48bI
Maria Clara e JP aprendem que =C3=A9 ruim colar na prova~1,845,768~0~4~107~https://www.youtube.com/watch?v=3DC_Ff63k2Esk
Maria Clara e JP em: A professora substituta =F0=9F=98=B4~3,470,254~0~4~107~https://www.youtube.com/watch?v=3DtTP6rETZ63g
40 minutos com Maria Clara e JP - Compila=C3=A7=C3=A3o de v=C3=ADdeos para crian=C3=A7a~1,711,196~0~4~107~https://www.youtube.com/watch?v=3DObDBGZjzmXk
Maria Clara e JP aprendem sobre respeito ao professor na sala de aula~1,899,963~0~4~107~https://www.youtube.com/watch?v=3DfH9ApB24Lxo
Maria Clara e JP ajudam o policial atropelado~6,592,058~0~5~138~https://www.youtube.com/watch?v=3DNH7gdVrNHUU
Maria Clara ensina JP a acordar na hora para a escola~2,741,635~0~5~138~https://www.youtube.com/watch?v=3D6WTSEre2dSY
Maria Clara e JP em apuros no Parque dos Dinossauros 2~6,160,020~0~5~138~https://www.youtube.com/watch?v=3DQ_D53GjSdBM
Aprendendo sobre o corpo humano com Maria Clara e JP~2,161,488~0~5~138~https://www.youtube.com/watch?v=3DTONHmIWlIPA
Maria Clara e JP passam o dia com a Vov=C3=B3~4,347,290~0~5~138~https://www.youtube.com/watch?v=3DKKlO6sREgyE
Maria Clara e JP em uma hist=C3=B3ria engra=C3=A7ada de curativos gigantes | Funny stories with sticky tape~3,491,947~0~5~138~https://www.youtube.com/watch?v=3D6RCyp26eusk
JP =C3=A9 papai por um dia com Beb=C3=AA de Verdade - Maria Clara e JP~11,174,351~0~5~138~https://www.youtube.com/watch?v=3DWGJF6XbUvmI
Maria Clara e JP Encontram uma Beb=C3=AA e Fingem Ser Pais~4,275,414~0~6~168~https://www.youtube.com/watch?v=3D4f-Sanwmlpo
Maria Clara e JP em uma hist=C3=B3ria engra=C3=A7ada do novo Sal=C3=A3o de Beleza Autom=C3=A1tico~3,531,239~0~6~168~https://www.youtube.com/watch?v=3DpS5V5hETcBM
Maria Clara e JP em hist=C3=B3rias engra=C3=A7adas sobre diversidade na escola~2,427,936~0~6~168~https://www.youtube.com/watch?v=3Dcoae2JoRlF8
Maria Clara e JP na hist=C3=B3ria do dever de casa de Emoji~5,250,634~0~6~168~https://www.youtube.com/watch?v=3DcNRmFbyIYdA
Regras de Conduta para Crian=C3=A7as em rela=C3=A7=C3=A3o aos Estranhos - Maria Clara e JP~3,342,372~0~6~168~https://www.youtube.com/watch?v=3DbZW-drukNuA
Maria Clara e JP sem eletr=C3=B4nicos por 24 horas / Regras de conduta para crian=C3=A7as~4,130,691~0~6~168~https://www.youtube.com/watch?v=3DTgMvdcBBezI
Cabe=C3=A7a, ombro, joelho e p=C3=A9 com Maria Clara e JP | Head Shoulders Knees &amp; Toes~9,754,090~0~7~199~https://www.youtube.com/watch?v=3DH5q44BLvXFo
Maria Clara e JP comemoram o Dia das M=C3=A3es - Compilados Maria Clara, JP e Mam=C3=A3e~8,827,887~0~7~199~https://www.youtube.com/watch?v=3DuWtGisT8ZYU
Maria Clara e JP brincam de esconde-esconde em uma caixa misteriosa | Mystery Box~2,577,130~0~7~199~https://www.youtube.com/watch?v=3DcbbNOjxXZeo
Roleta M=C3=A1gica Preto vs Rosa com Maria Clara e JP Play Pink vs. Black Challenge~6,919,415~0~7~199~https://www.youtube.com/watch?v=3DkQOyL79WC-o
Ser Crian=C3=A7a =C3=A9 =E2=99=AB M=C3=BAsica Maria Clara e JP~6,644,597~0~7~199~https://www.youtube.com/watch?v=3D1LBha7R_sPo
Maria Clara e JP aprendem diferentes profiss=C3=B5es na escola | Compilado Dia do Trabalhador~3,185,934~0~7~199~https://www.youtube.com/watch?v=3Dog4NOHCab_o
Maria Clara e JP no desafio Escape Room Challenge~5,885,763~0~7~199~https://www.youtube.com/watch?v=3DSQLbw2KvnM4
Maria Clara e JP brincam de detetive e investigam um mist=C3=A9rio~4,155,721~0~7~199~https://www.youtube.com/watch?v=3DAjajJNOcGnw
Maria Clara e JP na hist=C3=B3ria do planeta doente | Compila=C3=A7=C3=A3o de v=C3=ADdeos Dia da Terra~2,480,631~0~8~229~https://www.youtube.com/watch?v=3DpfKLHyS5QCo
Maria Clara e JP ensinam a fazer pipoca, algod=C3=A3o doce e sorvete saud=C3=A1vel~9,605,297~0~8~229~https://www.youtube.com/watch?v=3DaoNJhyO8qUs
Maria Clara e JP s=C3=A3o confundidos pelo policial atrapalhado.~5,794,351~0~8~229~https://www.youtube.com/watch?v=3D_wgV4mzhnoU
Viva a P=C3=A1scoa =E2=99=AB M=C3=9ASICA MARIA CLARA E JP~9,346,480~0~8~229~https://www.youtube.com/watch?v=3DBB1oXrSrWGY
Maria Clara aprende a gastar o seu dinheiro com sabedoria~5,394,812~0~8~229~https://www.youtube.com/watch?v=3DkQYMtDaBgV8
Desafio rosa vs preto Maria Clara e JP | Pink vs Black Challenge~7,197,109~0~8~229~https://www.youtube.com/watch?v=3Ds8aYqTJqLFg
JP encolheu a Maria Clara!~10,623,606~0~8~229~https://www.youtube.com/watch?v=3DNY7upcVH_Qk
Maria Clara recebe seus amigos em casa e outras hist=C3=B3rias divertidas com Maria Clara e JP~7,244,277~0~9~260~https://www.youtube.com/watch?v=3D3WTRptYmD_Q
1 HORA com Maria Clara e JP~22,137,567~0~9~260~https://www.youtube.com/watch?v=3DbalYj4b00rM
Maria Clara e JP na aula de ci=C3=AAncias aprendem sobre atividade f=C3=ADsica~2,755,634~0~9~260~https://www.youtube.com/watch?v=3DZw44tSv-XV0
Maria Clara e JP aprendem sobre o corpo humano~4,493,228~0~9~260~https://www.youtube.com/watch?v=3DFuV612OM3Vc
Wandinha Clara em seu primeiro dia na escola| Maria Clara e JP~7,111,219~0~10~288~https://www.youtube.com/watch?v=3Dk8SMPVCz5bM
Maria Clara e JP aprendem que o conhecimento na escola =C3=A9 mais importante~6,867,403~0~10~288~https://www.youtube.com/watch?v=3D8vY-KdvLSqA
Maria Clara faz exerc=C3=ADcios e come alimentos saud=C3=A1veis | Maria Clara e JP~3,618,662~0~10~288~https://www.youtube.com/watch?v=3D9p0IUGIZMV4
40min de Desafios Divertidos com Maria Clara e JP~10,588,522~0~10~288~https://www.youtube.com/watch?v=3DnMxxivyPj-g
Maria Clara e JP bonecos em uma hist=C3=B3ria engra=C3=A7ada de fantasminha~3,539,787~0~10~288~https://www.youtube.com/watch?v=3D7IAmlnudN4A
Desafio do SIM ou NAO com Maria Clara e JP~4,608,507~0~11~319~https://www.youtube.com/watch?v=3DBr-3jpUESzc
MARIA CLARA E JP GRATID=C3=83O AOS PAIS~7,837,038~0~11~319~https://www.youtube.com/watch?v=3DV_Xp2SGy7N8
Volta =C3=A0s aulas com Maria Clara e JP - Compila=C3=A7=C3=A3o de v=C3=ADdeos escolares~7,195,846~0~11~319~https://www.youtube.com/watch?v=3DI8JI06q9znw
Um dia na It=C3=A1lia com Maria Clara e JP~2,356,596~0~11~319~https://www.youtube.com/watch?v=3DXyngg0FL8zY
Brincadeiras de irm=C3=A3os com Maria Clara e JP - Compilado de hist=C3=B3rias engra=C3=A7adas~19,603,435~0~11~319~https://www.youtube.com/watch?v=3DqWsqeDxHT-U
Um dia na Gr=C3=A9cia com Maria Clara e JP~2,166,907~0~11~319~https://www.youtube.com/watch?v=3DWqMP834ebt8
Maria Clara e JP em uma m=C3=A1gica aventura de Natal~7,466,110~0~12~350~https://www.youtube.com/watch?v=3D_SKFjCFe13M
O Biscoito Gigante da Maria Clara e JP~5,546,177~0~12~350~https://www.youtube.com/watch?v=3DcwVfj6-LdBw
M=C3=A1quina Gigante de vendas de Natal da Maria Clara e JP~8,001,716~0~12~350~https://www.youtube.com/watch?v=3Dn9FSp3nN8tE
A atrapalhada Netinha do Papai Noel - Compila=C3=A7=C3=A3o 1h de v=C3=ADdeo com Maria Clara e JP~6,327,906~0~12~350~https://www.youtube.com/watch?v=3D2V_QjZZCXyQ
Regras de conduta para crian=C3=A7a com Maria Clara e JP~7,471,745~0~12~350~https://www.youtube.com/watch?v=3DMEXrVm1pAOM
Maria Clara e JP fazem desenhos m=C3=A1gicos e ficam em apuros!~18,142,559~0~12~350~https://www.youtube.com/watch?v=3DLKJ7dkBeRss
30 minutos de Natal com Maria Clara e JP~9,616,285~0~12~350~https://www.youtube.com/watch?v=3DL1hmdI7j5n0
BEBEZINHA =F0=9F=91=B6=F0=9F=8D=BC | M=C3=9ASICA MARIA CLARA E JP =E2=99=AB~54,037,002~0~13~380~https://www.youtube.com/watch?v=3DeNQYj73w-hY
Maria Clara e JP transformam um cruzeiro de brinquedo em um de verdade!~2,639,077~0~13~380~https://www.youtube.com/watch?v=3Dcm0YdFWncHI
O Rob=C3=B4 atrapalhado da Maria Clara e JP~5,181,273~0~13~380~https://www.youtube.com/watch?v=3DGMiE99vKSF4
Livro de atividade e pintura da Maria Clara e JP~3,078,003~0~13~380~https://www.youtube.com/watch?v=3D_8hrz3BvqG0
Meus bonecos Maria Clara e JP v=C3=A3o ao parque de divers=C3=B5es~7,566,841~0~13~380~https://www.youtube.com/watch?v=3DNk4HbdD6NWw
Maria Clara e JP na hist=C3=B3ria do Monstro do Celular~9,827,002~0~13~380~https://www.youtube.com/watch?v=3DKpxTQ2u_FkM
Chuva Chuva =E2=99=AB M=C3=BAsica Maria Clara e JP | Rain Rain Go Away~20,435,543~0~13~380~https://www.youtube.com/watch?v=3DeNuD9yqh-7w
Maria Clara e JP fazem compras de Halloween~5,491,747~0~13~380~https://www.youtube.com/watch?v=3DvmeZgsdKlEk
1 Hora com Maria Clara e JP~29,780,767~1~14~411~https://www.youtube.com/watch?v=3DwnO5oi69XoQ
Experi=C3=AAncia de Halloween com gelo seco | Maria Clara e JP~2,048,450~1~14~411~https://www.youtube.com/watch?v=3Dfvk6019c7_c
Maria Clara e JP na hist=C3=B3ria da nova melhor amiga - BFF~28,754,922~1~14~411~https://www.youtube.com/watch?v=3DcFlvQpKQsIw
Maria Clara e JP apresentam 5 brincadeiras para fazer com o T=C3=AAnis da Bibi~2,128,610~1~14~411~https://www.youtube.com/watch?v=3DYnSRbjp329Q
Maria Clara e seus amigos brincam no parque da Peppa Pig~13,820,100~1~14~411~https://www.youtube.com/watch?v=3DjG7eAplieoQ
Maria Clara e JP aprendem a superar seus pr=C3=B3prios desafios~26,580,735~1~14~411~https://www.youtube.com/watch?v=3DWyY1sVClbks
Maria Clara e JP encontram um jogo de tabuleiro e embarcaram em uma grande aventura!~27,319,183~1~14~411~https://www.youtube.com/watch?v=3DcnNQkzI44-4
Maria Clara perdeu a Beb=C3=AA Sophia =F0=9F=91=B6 Maria Clara Lost the Baby~31,893,324~1~14~411~https://www.youtube.com/watch?v=3DVEvaz3Pq4kA
Maria Clara cuida de 5 beb=C3=AAs levados~16,608,592~1~14~411~https://www.youtube.com/watch?v=3Dkjjgi47tfx8
Maria Clara e JP fingem ser clientes de uma sorveteria~6,738,920~1~14~411~https://www.youtube.com/watch?v=3DUalFAJc-u-c
Maria Clara impede sua boneca de dormir~9,383,017~1~14~411~https://www.youtube.com/watch?v=3DDnd_KqwvZoo
Maria Clara e JP brincam de esconde-esconde com capa m=C3=A1gica~25,625,949~1~14~411~https://www.youtube.com/watch?v=3D60_YI2JKBCo
Maria Clara e JP mostram a import=C3=A2ncia da falar a verdade~16,634,427~1~14~411~https://www.youtube.com/watch?v=3D1bWTV9TLjBw
Maria Clara ganhou uma festa surpresa de anivers=C3=A1rio!~33,180,934~1~14~411~https://www.youtube.com/watch?v=3D2ko8nNRVjYo
Maria Clara e JP aprendem os 5 sentidos do corpo humano~2,660,718~1~14~411~https://www.youtube.com/watch?v=3DS4awE_HrpI0
Maria Clara cantando a Can=C3=A7=C3=A3o das Cores e a Sophia brinca na piscina~11,233,304~1~14~411~https://www.youtube.com/watch?v=3DpiFmxvU81IQ
Melhor cole=C3=A7=C3=A3o de hist=C3=B3ria de super her=C3=B3is com Maria Clara e JP - Compilado 40min~24,292,010~1~14~411~https://www.youtube.com/watch?v=3D6bFgUZO_Aq8
Maria Clara e JP em uma hist=C3=B3ria engra=C3=A7ada sobre sorvetes / Pretend Play Selling Ice Cream~16,739,837~1~14~411~https://www.youtube.com/watch?v=3DjGo8O9FSHSA
Maria Clara e JP na hist=C3=B3ria sobre bullying escolar~14,577,983~1~14~411~https://www.youtube.com/watch?v=3Dx8vfrjI0OmQ
Maria Clara e JP mostram que frutas s=C3=A3o melhores que doces | Educa=C3=A7=C3=A3o alimentar para crian=C3=A7as~27,450,266~1~14~411~https://www.youtube.com/watch?v=3D2VPWtVOUgZo
Maria Clara =C3=A9 cozinheira por um dia na cozinha de brinquedo =E2=99=A5 Pretend Play Cooking Cute Kitchen Toy~10,454,290~1~14~411~https://www.youtube.com/watch?v=3DGVgH4SgDkus
Maria Clara e JP ensinam as cores para a Baby Sophia com bal=C3=B5es | Learn Colors With Balloons~11,600,705~1~14~411~https://www.youtube.com/watch?v=3D_vlL-HCnhZc
Maria Clara brincando na nova piscina de pl=C3=A1stico no parque aqu=C3=A1tico~20,899,580~1~14~411~https://www.youtube.com/watch?v=3DMamPnc1-Z6M
Maria Clara e JP em um dia de f=C3=A9rias~43,233,839~1~14~411~https://www.youtube.com/watch?v=3DdVuQ_fCdV_0
Maria Clara e JP aprendem o que =C3=A9 ter ci=C3=BAmes~10,297,519~1~14~411~https://www.youtube.com/watch?v=3DFmcnSGGPUtk
Hist=C3=B3rias engra=C3=A7adas na sala de aula com Maria Clara e JP | Compila=C3=A7=C3=A3o de v=C3=ADdeos escolares~25,444,621~1~14~411~https://www.youtube.com/watch?v=3Dmanb5gPdtZE
Maria Clara e JP fazem o desafio de 24h em uma barraca sem brigas.~10,034,705~1~14~411~https://www.youtube.com/watch?v=3DpnlZblWv8xg
Maria Clara aprende como =C3=A9 importante ler livros~4,609,451~1~14~411~https://www.youtube.com/watch?v=3D4veVO5SHJqQ
Maria Clara e JP na hist=C3=B3ria do rob=C3=B4 atrapalhado~14,610,807~1~14~411~https://www.youtube.com/watch?v=3DWSY4RtpFW14
Maria Clara e JP mostram que o conhecimento na escola =C3=A9 mais importante~24,763,126~1~14~411~https://www.youtube.com/watch?v=3DYPvPus3shu4
A nova irm=C3=A3 g=C3=AAmea da Maria Clara, um sonho engra=C3=A7ado do JP~8,924,510~1~14~411~https://www.youtube.com/watch?v=3D8u4rUOsrbA0
Maria Clara e JP est=C3=A3o aprendendo como se tornar um cientista | Compila=C3=A7=C3=A3o~10,190,774~1~14~411~https://www.youtube.com/watch?v=3DDbNqDRePT1c
Maria Clara e JP em uma hist=C3=B3ria engra=C3=A7ada de uma nova irm=C3=A3 beb=C3=AA~15,287,516~1~14~411~https://www.youtube.com/watch?v=3DlGWlqgmyCAU
Maria Clara e JP em: Quem tem medo do escuro?~5,319,028~1~14~411~https://www.youtube.com/watch?v=3DH0zpjPcpWMU
Maria Clara e JP tentam preparar uma surpresa para o Dia das M=C3=A3es~6,621,669~1~14~411~https://www.youtube.com/watch?v=3DjPdyec7F0io
Entrevista comigo mesma - Maria Clara e JP~3,166,910~1~14~411~https://www.youtube.com/watch?v=3DpVlMHW7OPnw
Maria Clara e JP aprendem as profiss=C3=B5es no Dia do Trabalhador~4,199,059~1~14~411~https://www.youtube.com/watch?v=3DfW9HGvvps_Y
JP quer ter um irm=C3=A3o - Hist=C3=B3rias divertidas com Maria Clara e JP~17,532,513~1~14~411~https://www.youtube.com/watch?v=3Du5o3OIdN_Wo
Maria Clara e JP ajudam uma sereia triste | Educa=C3=A7=C3=A3o ambiental para crian=C3=A7as =E2=99=BB=EF=B8=8F Dia da Terra =F0=9F=8C=8E~22,479,344~1~14~411~https://www.youtube.com/watch?v=3DGsPk03_TqMc
Maria Clara e sua amiga aprendem as cores com bolas em uma aula engra=C3=A7ada~12,400,159~1~14~411~https://www.youtube.com/watch?v=3DZhK15UmuV3Q
Maria Clara e JP ensinam a fazer brinquedos com materiais recicl=C3=A1veis =E2=99=BB=EF=B8=8F Dia da Terra =F0=9F=8C=8E~5,729,136~1~14~411~https://www.youtube.com/watch?v=3DQFDbA0pqL6U
Maria Clara e JP exploram o espa=C3=A7o e aprendem como funciona o sistema solar =F0=9F=9A=80=F0=9F=8C=8E~4,894,605~1~14~411~https://www.youtube.com/watch?v=3DYbT5AsL22JA
Maria Clara e JP ensinam sua amiga da escola a cuidar de sua apar=C3=AAncia~31,584,283~1~14~411~https://www.youtube.com/watch?v=3DMQgfEwHWJPA
Nosso planeta est=C3=A1 doente! Maria Clara e JP aprendem sobre Preserva=C3=A7=C3=A3o Ambiental~7,957,121~1~14~411~https://www.youtube.com/watch?v=3DXfzZ8eDOhug
Maria Clara e JP Encontram Tesouros de Piratas na Praia~11,479,853~1~14~411~https://www.youtube.com/watch?v=3DBlAi0XZOZIE
Desafio da Pizza com os chefes Maria e JP | Receita Secreta, Final Surpreendente! =F0=9F=8D=95~4,140,063~1~14~411~https://www.youtube.com/watch?v=3DWuHW-E8v_QU
Maria Clara e JP aprendem as regras de conduta na escola~4,789,018~1~14~411~https://www.youtube.com/watch?v=3DwXHSsJ3HiTs
Maria Clara e JP tem um plano infal=C3=ADvel e assistem o filme Turma da M=C3=B4nica - Li=C3=A7=C3=B5es em casa.~3,098,404~1~14~411~https://www.youtube.com/watch?v=3DhQXClQQGQuo
Maria Clara e JP brincam no maior pula pula do mundo!~30,888,556~1~14~411~https://www.youtube.com/watch?v=3DJxf-pjBpUlw
Maria Clara e JP encontram um novo beb=C3=AA alien=C3=ADgena =F0=9F=91=BD~13,327,644~1~14~411~https://www.youtube.com/watch?v=3DGFLsTPPFGC0
Maria Clara e JP preparam um Baile de M=C3=A1scaras e chamam seus amigos~5,971,652~1~14~411~https://www.youtube.com/watch?v=3DDKnlvDOFUZI
Maria Clara e a hist=C3=B3ria do material escolar | How to make DIY School Supplies!~55,053,043~1~14~411~https://www.youtube.com/watch?v=3DwIvfhYguT6s
Maria Clara e JP - Melhor cole=C3=A7=C3=A3o de hist=C3=B3rias educacionais para crian=C3=A7as~23,580,354~1~14~411~https://www.youtube.com/watch?v=3DuVE6_PbhXfg
Maria Clara e JP em um dia de prova na escola~8,991,278~1~14~411~https://www.youtube.com/watch?v=3DNJgNosph_vU
Maria Clara e o espelho m=C3=A1gico =E2=99=A1 The magical mirror~8,111,484~1~14~411~https://www.youtube.com/watch?v=3DveU1e_s_GpQ
Maria Clara pinta o cabelo do pai para ir a uma festa.~4,545,942~1~14~411~https://www.youtube.com/watch?v=3DVKJ_dvEHQHg
Maria Clara brinca de escolinha com os bonecos Maria Clara e JP~13,922,014~1~14~411~https://www.youtube.com/watch?v=3DaX5k2lodYJ4
Maria Clara e JP aprendem formas geom=C3=A9tricas com brinquedos de Pop It~25,947,612~1~14~411~https://www.youtube.com/watch?v=3DPVi0qM1PIJ8
Maria Clara ficou gigante!~10,668,578~1~14~411~https://www.youtube.com/watch?v=3DLINjBQ1Bn10
MARIA CLARA E JP FAZEM TRAVESSURAS DE CRIAN=C3=87A | Baby Tricks Challenge~10,518,894~1~14~411~https://www.youtube.com/watch?v=3DLCug8dWjlqU
Maria Clara e JP arrumam o quarto de visitas~38,593,094~1~14~411~https://www.youtube.com/watch?v=3DqXnH8GRwk5c
Maria Clara e a hist=C3=B3ria de como n=C3=A3o se comportar no primeiro dia de aula~8,730,826~1~14~411~https://www.youtube.com/watch?v=3D5qWcX2ZOAAM
Maria Clara e JP em uma hist=C3=B3ria engra=C3=A7ada do sumi=C3=A7o do celular~26,584,097~1~14~411~https://www.youtube.com/watch?v=3D1DpE9lb4DSQ
A atrapalhada netinha do Papai Noel =E2=80=93 Hist=C3=B3rias de Natal com Maria Clara e JP~12,136,087~1~14~411~https://www.youtube.com/watch?v=3DDc2rw6jDavM
Maria Clara e JP ganham superpoderes e salvam o Natal =F0=9F=8E=84~15,739,936~1~14~411~https://www.youtube.com/watch?v=3Dme7ylqmjqxs
Meus bonecos Maria Clara e JP foram conhecer o Papai Noel =F0=9F=8E=84~17,685,037~1~14~411~https://www.youtube.com/watch?v=3DdFBn5MXqEBA
Maria Clara e JP preparam um bolo para comemorar os 30 milh=C3=B5es de inscritos do canal!~9,977,033~1~14~411~https://www.youtube.com/watch?v=3DTJ4ELe3FyRc
