title~views~since_upload~link
Chris learns how important to take care of your teeth~8,548,810~3 days ago 14 minutes, 28 seconds~https://www.youtube.com/watch?v=3DtoZiwzf2dYM
Chris and Niki learn how to play together and share toys~5,433,020~6 days ago 26 minutes~https://www.youtube.com/watch?v=3D4I32NtGk5H4
Chris and Niki PAW Patrol Mighty Movie Toys Rescue Mission~6,252,891~10 days ago 6 minutes, 55 seconds~https://www.youtube.com/watch?v=3Dy5brOY8JxWU
Vlad and Chris help Batman and Superman save the Batcave~6,817,659~2 weeks ago 5 minutes, 5 seconds~https://www.youtube.com/watch?v=3DjS8n95E94wo
Chris and Mom learn weather and natural disasters~6,519,189~2 weeks ago 13 minutes, 12 seconds~https://www.youtube.com/watch?v=3DZfEe49ZS86Y
Chris and Niki explore Mom's ice cream truck and other funny stories for kids~6,478,532~2 weeks ago 28 minutes~https://www.youtube.com/watch?v=3D8HtOghWljpA
Chris celebrates his 4th birthday with friends~10,321,423~3 weeks ago 20 minutes~https://www.youtube.com/watch?v=3D7Fyxsu0M7oI
Chris practices safe driving and learns the rules of the road~15,888,631~4 weeks ago 20 minutes~https://www.youtube.com/watch?v=3DBDxP0lLMQjs
Vlad and Niki - Funny stories with Baby Alice~17,229,438~1 month ago 27 minutes~https://www.youtube.com/watch?v=3D4UNDS7jYj-M
Chris and his friends decorate playhouses for kids~4,992,378~1 month ago 20 minutes~https://www.youtube.com/watch?v=3DnGZPAjgqJdU
Learn countries with Chris and Mom | Kids adventures~35,252,129~1 month ago 19 minutes~https://www.youtube.com/watch?v=3DZdRzq5npaIo
Vlad and Niki Useful stories about taking care of your health and rules for kids~4,819,658~1 month ago 21 minutes~https://www.youtube.com/watch?v=3DHqj-cY37SlI
Vlad and Niki 12 Locks 2 - New game for kids~4,667,061~1 month ago 4 minutes, 56 seconds~https://www.youtube.com/watch?v=3DAEobdCr7n1U
Vlad and Niki Best funny stories for kids | 1 Hour Video~38,674,912~1 month ago 1 hour~https://www.youtube.com/watch?v=3DrGLkT_MrRuY
Vlad and Niki Bakugan Battle Arena~4,545,938~1 month ago 8 minutes, 15 seconds~https://www.youtube.com/watch?v=3Dgc7tpjKz-ro
Chris rides a taxi and helps his friends~15,519,354~1 month ago 27 minutes~https://www.youtube.com/watch?v=3DD5HALUwaWJA
Chris and Niki play with balloons~60,617,648~2 months ago 17 minutes~https://www.youtube.com/watch?v=3DZHrG8X43p4w
Chris and Mom Escape Challenges for kids~16,119,710~2 months ago 31 minutes~https://www.youtube.com/watch?v=3D6cFVon4xtPQ
Chris and Niki explore Mom's ice cream truck~53,757,067~2 months ago 17 minutes~https://www.youtube.com/watch?v=3DJhl23PNIWX0
Chris and Niki Escape Challenge with Mom~24,564,837~2 months ago 22 minutes~https://www.youtube.com/watch?v=3D4CN48bpOxgk
Chris learns to feed animals and other useful kids stories~14,331,303~2 months ago 28 minutes~https://www.youtube.com/watch?v=3D7kMO9S037GU
Chris plays in the children's cafe and feeds the animals~9,358,469~3 months ago 17 minutes~https://www.youtube.com/watch?v=3Dc0Vrhr2CyIY
Chris learns how to help Mom and his friends | 1 Hour Video~73,353,223~3 months ago 1 hour~https://www.youtube.com/watch?v=3DwLtjwdkdRk8
Kids stories about helping each other and good behavior with Vlad and Niki~30,039,641~3 months ago 1 hour, 1 minute~https://www.youtube.com/watch?v=3D7hta2VeHASk
Vlad and Niki Supermarket story for kids~3,273,632~3 months ago 6 minutes, 54 seconds~https://www.youtube.com/watch?v=3DKq60BP40axA
Niki and Chris learn how to play together~9,679,827~3 months ago 19 minutes~https://www.youtube.com/watch?v=3DZN5SwVocOuE
Chris and Mom learn to Solve the Mystery Challenge~13,852,266~3 months ago 14 minutes, 18 seconds~https://www.youtube.com/watch?v=3D0VwIoFxW9Hw
Driver Chris rides a taxi and helps the city rescuers~64,422,354~3 months ago 19 minutes~https://www.youtube.com/watch?v=3D3bYMS2yzhA0
Vlad and Niki Show Little Chris How to Behave~24,167,167~3 months ago 20 minutes~https://www.youtube.com/watch?v=3Dx0iaF5CBHvA
Chris and Mom show the safety rules for kids~14,726,016~3 months ago 18 minutes~https://www.youtube.com/watch?v=3DcyPX0M5vgaA
New Room for baby Alice~13,792,929~4 months ago 14 minutes, 14 seconds~https://www.youtube.com/watch?v=3D5bexjTVwJbg
