title~views~uptime_y~uptime_m~uptime_d~link
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #33~886,362~0~1~33~https://www.youtube.com/watch?v=3DYl_rmlS4u9s
JENNIE - 'You &amp; Me' Behind The Scenes~1,219,887~0~1~33~https://www.youtube.com/watch?v=3Dq9lQG1shW6o
JENNIE - =E2=80=98You &amp; Me (Jazz ver.)=E2=80=99 LIVE CLIP~4,849,325~0~1~35~https://www.youtube.com/watch?v=3DZgLlabyz7oY
JENNIE - =E2=80=98You &amp; Me=E2=80=99 [BORN PINK] WORLD TOUR STAGE MIX VIDEO~4,066,934~0~1~38~https://www.youtube.com/watch?v=3DZSc-zcWl2g8
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #32~1,192,020~0~1~40~https://www.youtube.com/watch?v=3DTIbItS4-4bQ
JENNIE - You &amp; Me (Official Audio)~2,722,389~0~1~40~https://www.youtube.com/watch?v=3DCpbJO2Z6DA4
JENNIE - You &amp; Me (Coachella ver.) (Official Audio)~4,813,232~0~1~40~https://www.youtube.com/watch?v=3D3yILnlnIqyU
JENNIE - =E2=80=98You &amp; Me=E2=80=99 DANCE PERFORMANCE VIDEO~32,734,091~0~1~40~https://www.youtube.com/watch?v=3DeQNHDV7lKgE
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #31~2,146,107~0~1~45~https://www.youtube.com/watch?v=3DlEQVW6uRUz8
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #30~1,723,464~0~1~52~https://www.youtube.com/watch?v=3D-bamhqJtLp4
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL SPOT VIDEO #2~1,526,939~0~2~61~https://www.youtube.com/watch?v=3D6apPVWaLdfU
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL MESSAGE VIDEO (ENG ver.)~1,028,642~0~2~61~https://www.youtube.com/watch?v=3DnfjBdDET_xY
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL MESSAGE VIDEO (KOR ver.)~499,969~0~2~61~https://www.youtube.com/watch?v=3DL-Gx8ry3i20
BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL SPOT VIDEO~1,351,171~0~2~61~https://www.youtube.com/watch?v=3DTL5dFyAuUKU
BLACKPINK THE GAME - =E2=80=98THE GIRLS=E2=80=99 MV~51,324,285~0~2~61~https://www.youtube.com/watch?v=3DcSqOY5nktfg
BLACKPINK THE GAME OST 'THE GIRLS' CELEBRATION PARTY~2,859,411~0~2~61~https://www.youtube.com/watch?v=3DD4SEVu4_Ko0
BLACKPINK - 7th ANNIVERSARY~6,331,272~0~3~92~https://www.youtube.com/watch?v=3D9c87NbLjH0I
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #29~2,781,561~0~3~92~https://www.youtube.com/watch?v=3DH7j9jY3WnrE
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #28~1,776,807~0~3~92~https://www.youtube.com/watch?v=3Dc-SMz9hiWZY
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #27~2,400,822~0~4~123~https://www.youtube.com/watch?v=3DskcE1qZKLLo
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #26~2,085,406~0~4~123~https://www.youtube.com/watch?v=3DvrZPnpaT3Ts
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #25~2,331,977~0~4~123~https://www.youtube.com/watch?v=3DJw_ZLkPQMsA
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #24~2,540,231~0~4~123~https://www.youtube.com/watch?v=3D4o05ewiImmI
BLACKPINK - =E2=80=98B.P.M.=E2=80=99 Roll #23~3,467,129~0~4~123~https://www.youtube.com/watch?v=3Dqyr13Idynm4
