title~views~uptime_y~uptime_m~uptime_d~link
'Jimin's Production Diary' Main Trailer~910,836~0~2~55~https://www.youtube.com/watch?v=3DRGYkRNdsd1Y
'Jimin's Production Diary' Teaser Trailer~755,409~0~2~57~https://www.youtube.com/watch?v=3Djvq-6XUeh_A
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.19 TEASER~779,760~0~2~57~https://www.youtube.com/watch?v=3DL6ynJ8sftQU
=EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow)=E2=80=99 MV Shoot Sketch~1,677,714~0~2~61~https://www.youtube.com/watch?v=3DKv1qZQq3_hQ
=EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow)=E2=80=99 Jacket Shoot Sketch~1,681,383~0~2~64~https://www.youtube.com/watch?v=3DSldA2HH19Es
=EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow) - Slowed Down' Visualizer~933,739~0~2~65~https://www.youtube.com/watch?v=3Db3KdowoBzP4
=EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow) - Sped Up' Visualizer~425,947~0~2~65~https://www.youtube.com/watch?v=3D1iF2-VxRSbw
=EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow) - Clean Ver.' Visualizer~1,261,168~0~2~65~https://www.youtube.com/watch?v=3DgZ45pwT6HWw
=EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow) - A. G. Cook Remix' Visualizer~629,989~0~2~65~https://www.youtube.com/watch?v=3DUiBCks4fCYA
[CHOREOGRAPHY] =EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow)=E2=80=99 Dance Practice~6,547,400~0~2~66~https://www.youtube.com/watch?v=3DXpDEEnZQxNU
=EC=A0=95=EA=B5=AD (Jung Kook) '3D (feat. Jack Harlow)' Official Live Performance Video~16,332,841~0~2~66~https://www.youtube.com/watch?v=3DZ3x9i7njCCo
=EB=B7=94(V) 'Slow Dancing' Band Session~1,732,650~0~2~73~https://www.youtube.com/watch?v=3DgPo-G0cSy-0
=EB=B7=94(V) 'Love Me Again' Band Session~1,711,712~0~2~73~https://www.youtube.com/watch?v=3Dr2rZXrsBAfE
V's 20 second LIVE @ Gangneung~2,367,917~0~2~73~https://www.youtube.com/watch?v=3Dn5ghq7Iro5w
V 'Layover' MV Making Film~1,226,822~0~2~73~https://www.youtube.com/watch?v=3DhYCrDPgFtig
[n=EC=9B=94=EC=9D=98 =EC=84=9D=EC=A7=84] Message from Jin : Sep 2023 =F0=9F=92=8C~2,260,765~0~2~80~https://www.youtube.com/watch?v=3DgwVU-AcAPvY
V 'Blue' @ NAVER NPOP~847,897~0~3~82~https://www.youtube.com/watch?v=3DVveNv69Mz4U
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.18 SUGA with V~5,526,834~0~3~82~https://www.youtube.com/watch?v=3DM6wpkLCiHoI
V 'Rainy Days' @ NAVER NPOP~1,344,847~0~3~82~https://www.youtube.com/watch?v=3DLAKSn-i2IYA
V 'Love Me Again' @ NAVER NPOP~2,067,871~0~3~82~https://www.youtube.com/watch?v=3DHJYzQhQaKWI
V 'Slow Dancing' @ NAVER NPOP~2,012,722~0~3~82~https://www.youtube.com/watch?v=3DhEy-2eIp_lM
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.18 TEASER~2,180,348~0~3~82~https://www.youtube.com/watch?v=3DUtlTjiBjUJ8
[BANGTAN BOMB] Jimin with Guitar - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,552,970~0~3~82~https://www.youtube.com/watch?v=3DDA-wnJQp-Cs
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.17 SUGA with =EC=9D=B4=EA=B0=95=EC=9D=B8~2,364,138~0~3~82~https://www.youtube.com/watch?v=3DaoZzdbvOlrA
[BANGTAN BOMB] Jimin and SUGA Video Call - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,715,537~0~3~82~https://www.youtube.com/watch?v=3Do0X0Z7ER3R0
=EC=A0=95=EA=B5=AD (Jung Kook) 'Seven (feat. Latto) - Alesso Remix' Visualizer~1,717,242~0~3~82~https://www.youtube.com/watch?v=3DpNRkNbJieNU
[EPISODE] 'Don=E2=80=99t ever say love me (Feat. RM of BTS)' Live Clip Sketch - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~820,401~0~3~82~https://www.youtube.com/watch?v=3DL8vEWO0U8sI
=EC=A0=95=EA=B5=AD (Jung Kook) =E2=80=98Seven=E2=80=99 @ BBC Radio 1 Live Lounge~767,937~0~3~82~https://www.youtube.com/watch?v=3Df6-GWc6TeXI
=EC=A0=95=EA=B5=AD (Jung Kook) =E2=80=98Seven=E2=80=99 @ BBC The One Show~948,630~0~3~82~https://www.youtube.com/watch?v=3D4fwG7DPfGDE
=EC=A0=95=EA=B5=AD (Jung Kook) =E2=80=98Let There Be Love (Original Song: Oasis)=E2=80=99 @ BBC Radio 1 Live Lounge~1,494,120~0~3~82~https://www.youtube.com/watch?v=3D2davNWu3mr4
[EPISODE] j-hope =E2=80=98Jack In The Box (HOPE Edition)=E2=80=99 Jacket Shoot Sketch - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~780,078~0~3~82~https://www.youtube.com/watch?v=3DyO4ehR7jl-Y
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.17 TEASER~1,031,872~0~3~82~https://www.youtube.com/watch?v=3D58g7pclDDaY
=EC=A0=95=EA=B5=AD (Jung Kook) =E2=80=98Seven (feat. Latto)=E2=80=99 Performance Video Behind~1,710,221~0~3~82~https://www.youtube.com/watch?v=3DIEu0gsn_9Yw
=EC=A0=95=EA=B5=AD (Jung Kook) =E2=80=98Seven (feat. Latto)=E2=80=99 Dance Practice Behind~2,958,808~0~4~113~https://www.youtube.com/watch?v=3DAkZNww9sj_E
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.16 SUGA with =ED=99=A9=EB=AF=BC=ED=98=84~2,729,463~0~4~113~https://www.youtube.com/watch?v=3DASCVmvGlhiA
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.16 TEASER~1,457,695~0~4~113~https://www.youtube.com/watch?v=3Dd0tIkhcHmlg
[EPISODE] Jung Kook=E2=80=99s Calvin Klein Commercial Shoot Sketch - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,298,732~0~4~113~https://www.youtube.com/watch?v=3DodY2a7xBvWY
=EC=A0=95=EA=B5=AD (Jung Kook) #SevenDaysAWeek Challenge Compilation Video~1,417,097~0~4~113~https://www.youtube.com/watch?v=3D3kzEw7ELIBc
[=EC=8A=88=EC=B7=A8=ED=83=80] Jung Kook Noraebang Clip~4,755,021~0~4~113~https://www.youtube.com/watch?v=3DG3RsCw2KemA
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.15 SUGA with Jung Kook~12,745,225~0~4~113~https://www.youtube.com/watch?v=3DocDDLPLKe70
=EC=A0=95=EA=B5=AD (Jung Kook) 'Seven' Recording Film~3,357,016~0~4~113~https://www.youtube.com/watch?v=3Dz3BvykUDOS4
=EC=A0=95=EA=B5=AD (Jung Kook) =E2=80=98Seven=E2=80=99 Stage CAM on The One Show~1,709,656~0~4~113~https://www.youtube.com/watch?v=3Dzm12X-AN6co
[CHOREOGRAPHY] =EC=A0=95=EA=B5=AD (JungKook) 'Seven (feat. Latto)=E2=80=99 Dance Practice~6,451,407~0~4~113~https://www.youtube.com/watch?v=3DTuhXw5UkG_g
=EC=A0=95=EA=B5=AD (Jung Kook) 'Seven (feat. Latto) - Lofi Mix' Visualizer~1,961,413~0~4~113~https://www.youtube.com/watch?v=3DwvL3Nl25evg
=EC=A0=95=EA=B5=AD (Jung Kook) 'Seven (feat. Latto) - Nightfall Mix' Visualizer~1,293,809~0~4~113~https://www.youtube.com/watch?v=3Dlu8dy2MPWCI
=EC=A0=95=EA=B5=AD (Jung Kook) 'Seven (feat. Latto) - Island Mix' Visualizer~1,499,425~0~4~113~https://www.youtube.com/watch?v=3DBlVSe_5cbFE
=EC=A0=95=EA=B5=AD (Jung Kook) 'Seven (feat. Latto) - Festival Mix' Visualizer~2,018,938~0~4~113~https://www.youtube.com/watch?v=3DCIQPE0EhXjY
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.14 SUGA with j-hope~4,335,909~0~4~113~https://www.youtube.com/watch?v=3D5xfosKUglZw
[EPISODE] =EC=A0=95=EA=B5=AD (Jung Kook) 'Seven (feat. Latto)' MV Shoot Sketch - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~5,984,042~0~4~113~https://www.youtube.com/watch?v=3DD4AtpsxE4es
