title~views~uptime_y~uptime_m~uptime_d~link
Kacchi Doriyaan - Maja Ma |Audio Song |Anurag Sharma, Arijit Singh, Asees Kaur~3,439~0~1~30~https://www.youtube.com/watch?v=3DJrk0lLGCXBY
Ae Pagli - Maja Ma |Audio Song |Ash King, Prakriti Kakar, Gourov Dasgupta~2,359~0~1~31~https://www.youtube.com/watch?v=3DfXVF25hzGZw
Savaria - Audio Song |Neeti Mohan, Shakti, Mukti, Salman |Vikram Montrose,Shekhar Astitwa~32,331~0~1~32~https://www.youtube.com/watch?v=3DuZD10DZpjsw
Boom Padi - Maja Ma |Audio Song |Madhuri Dixit |Shreya Ghoshal,Osman Mir,Siddharth-Souumil~1,149~0~1~32~https://www.youtube.com/watch?v=3DhOKI_8Qq1As
Four More Shots Please S1 |Mikey McCleary, Medha Sahi |Audio Song~269~0~1~33~https://www.youtube.com/watch?v=3DrVUlK62o3Ho
Hold On - Four More Shots Please S1 |Mikey M.,Achint,Medha Sahi |Audio Song~320~0~1~33~https://www.youtube.com/watch?v=3DhLAMHxAdqOs
Four More Shots Please S1 |Mikey M.,Natania,Saachi Rajadhyaksha |Audio Song~2,354~0~1~34~https://www.youtube.com/watch?v=3D5Ih4LF9lIBw
Untameable - Four More Shots Please S1 |Mikey M.,Natania,Rachel Varghese |Audio Song~961~0~1~34~https://www.youtube.com/watch?v=3DY-HZlJWV6cg
Abbey Fizardo - Rumba Shumba (From &quot;Four More Shots Please! Season 1&quot;)~1,973~0~1~35~https://www.youtube.com/watch?v=3Dbi5D09LPFFw
Myself - Four More Shots Please | Mikey McCleary,Medha Sahi | Audio Song~14,926~0~1~35~https://www.youtube.com/watch?v=3DJGBI5DRGa7o
Falling In Love With My Body - Four More Shots Please| Saachi Rajadhyaksha, Mikey McCleary~14,789~0~1~36~https://www.youtube.com/watch?v=3DORLj8n-7Pms
On My Own - Four More Shots Please! S1 |Sharvi Yadav, Mikey McCleary|Audio Song~3,683~0~1~37~https://www.youtube.com/watch?v=3DyxwIwNAdqYw
Turn It Up - Four More Shots Please! |Pinky Maidasani, Natania, Mikey, Parth |Audio Song~16,022~0~1~38~https://www.youtube.com/watch?v=3DlAbEeI8E46I
Yahaan - Four More Shots Please! |Saachi Rajadhyaksha, Mikey McCleary|Audio Song~16,372~0~1~39~https://www.youtube.com/watch?v=3DN2TYFGlPZTw
Four More Shots Please - Title Track | Mikey McCleary, Natania Lalwani, Naquita D'souza~8,492~0~1~40~https://www.youtube.com/watch?v=3DHiEotd_ahOw
Yaara Teri Yaari - Four More Shots Please! S1 |Darshan Raval, Naveen Tyagi|Audio Song~7,127~0~1~41~https://www.youtube.com/watch?v=3Dbh6Ev8sw-yI
Mashooka - MC SQUARE, Hiten | Audio Song | Haryanvi Rap~11,138~0~1~42~https://www.youtube.com/watch?v=3Dt4bYJ1hPmOQ
So In Love - Made In Heaven S2 |Audio Song |Gaurav Raina,Komorebi,Tarana Marwah~13,799~0~1~42~https://www.youtube.com/watch?v=3DqC7J-N647e0
Seasons - Made In Heaven S2 |Audio Song |Gaurav Raina,Komorebi,Tarana Marwah~12,098~0~1~43~https://www.youtube.com/watch?v=3DjIOAoCy0TuU
Need A Rescue - Made In Heaven S2 |Audio Song |Gaurav Raina,Komorebi,Tarana Marwah~4,800~0~1~43~https://www.youtube.com/watch?v=3DKPu46AHlv0M
Mehendi Song - Made in Heaven Season 2 |Aditi Negi, Balkrishan Sharma, Kanishka Negi~18,616~0~1~43~https://www.youtube.com/watch?v=3DWAolvG2R2EY
Made In Heaven Season 2 |Ankur Tewari, Lopamudra Bandyopadhyay, Roy~17,356~0~1~43~https://www.youtube.com/watch?v=3DPPXwEZEBezw
Made In Heaven (Theme) - Audio Song | Gaurav Raina &amp; Komorebi~10,478~0~1~43~https://www.youtube.com/watch?v=3De62hwL_muaA
Perfect Love - Made In Heaven |Audio Song|Aadya J.,Avika D.,Mehak S.,Sherry Mathews~8,903~0~1~43~https://www.youtube.com/watch?v=3DeVST6UkHLs8
Musafir - Made In Heaven |Farad Bhiwandiwala, Sagar Desai, Amanda Sodhi |Pseudo~20,074~0~1~43~https://www.youtube.com/watch?v=3D4fbGWOuWTw4
Roshay - Made In Heaven | Dub Sharma, Vibha Saraf, Habba Khatoon | Pseudo Video~13,855~0~1~50~https://www.youtube.com/watch?v=3D6KYu5P5LP9k
Jiya Jaye - Made In Heaven | Rituraj, Sagar Desai, Amanda Sodhi |Audio Song~12,900~0~1~50~https://www.youtube.com/watch?v=3Dd8PLyN8Iyng
Baraat Company - Made In Heaven |Rituraj, Sagar Desai |Pseudo Video~4,693~0~1~50~https://www.youtube.com/watch?v=3DiD3vrEFcOsI
Aa Re Sakhi More Piya Ghar Aaye - Made In Heaven |Nizami Brothers Qawwali |Pseudo Video~2,812~0~1~50~https://www.youtube.com/watch?v=3DNBQX1C_xRsY
Ghodey Pe Sawaar - Qala |Tripti Dimri, Babil Khan |Amit Trivedi, Amitabh B., Sireesha B.~45,583~0~1~50~https://www.youtube.com/watch?v=3DKaWXuvgj-tI
Ratiya - Pina Colada Blues,Shreya Jain,Vaibhav Pani |Danish Kalra,Shruti Brahma~8,594~0~1~50~https://www.youtube.com/watch?v=3Dp8puOlpJMgA
Nirbhau Nirvair - Qala |Tripti, Babil |Amit Trivedi, Sant Kabir, Anvitaa D., Shahid M.~13,221~0~1~50~https://www.youtube.com/watch?v=3Dan3I73rlEf0
Shauq - Qala | Tripti Dimri, Babil Khan |Amit Trivedi, Varun Grover~31,846~0~1~50~https://www.youtube.com/watch?v=3DfNuUd3lhJ9I
