title~views~uptime_y~uptime_m~uptime_d~link
=D0=9F=D0=B5=D1=80=D0=B2=D1=8B=D0=B9 =D0=94=D0=B5=D0=BD=D1=8C =D0=B2 =D0=9D=D0=9E=D0=92=D0=9E=D0=99 =D0=A8=D0=9A=D0=9E=D0=9B=D0=95 !~7,106,594~0~2~51~https://www.youtube.com/watch?v=3Do7FoVSh0T9o
=D0=91=D0=9E=D0=93=D0=90=D0=A2=D0=AB=D0=99 vs =D0=91=D0=95=D0=94=D0=9D=D0=AB=D0=99 =D0=91=D0=90=D0=A2=D0=A3=D0=A2 !~8,684,399~0~2~54~https://www.youtube.com/watch?v=3DL-5aTM1SqKQ
=D0=9A=D1=82=D0=BE =D0=A0=D0=B0=D0=B7=D0=B3=D0=B0=D0=B4=D0=B0=D0=B5=D1=82 =D0=A1=D0=B0=D0=BC=D1=83=D1=8E =D0=A1=D0=BB=D0=BE=D0=B6=D0=BD=D1=83=D1=8E =D0=93=D0=9E=D0=9B=D0=9E=D0=92=D0=9E=D0=9B=D0=9E=D0=9C=D0=9A=D0=A3 =D0=9F=D0=BE=D0=B1=D0=B5=D0=B4=D0=B8=D1=82 !~8,103,812~0~2~56~https://www.youtube.com/watch?v=3DmcfW2tmdJ4o
=D0=97=D0=BB=D0=BE=D0=B9 =D0=91=D0=AB=D0=92=D0=A8=D0=98=D0=99 =D0=A0=D0=B8=D0=B2=D0=B8 =D0=A5=D0=BE=D1=87=D0=B5=D1=82 =D0=9D=D0=B0=D1=81 =D0=A3=D0=91=D0=98=D0=A2=D0=AC !~11,229,602~0~2~58~https://www.youtube.com/watch?v=3DXwrAUWqJrcA
=D0=93=D0=A0=D0=98=D0=9C=D0=90=D0=A1 =D0=B2 =D0=A0=D0=B5=D0=B0=D0=BB=D1=8C=D0=BD=D0=BE=D0=B9 =D0=96=D0=B8=D0=B7=D0=BD=D0=B8 ! *=D0=92=D1=8B=D0=BF=D0=B8=D0=BB=D0=B8 =D0=93=D0=A0=D0=98=D0=9C=D0=90=D0=A1 =D0=A8=D0=95=D0=99=D0=9A*~11,567,061~0~2~61~https://www.youtube.com/watch?v=3Dy6oA0xVy2h4
=D0=A0=D0=B5=D0=B0=D0=BA=D1=86=D0=B8=D0=B8 =D0=BD=D0=B0 =D0=93=D0=90=D0=94=D0=96=D0=95=D0=A2=D0=AB =D0=91=D0=A3=D0=94=D0=A3=D0=A9=D0=95=D0=93=D0=9E !~7,152,960~0~2~63~https://www.youtube.com/watch?v=3DTpBDNnkxErk
24 =D0=A7=D0=B0=D1=81=D0=B0 =D1=81 =D0=A1=D0=AB=D0=9D=D0=9E=D0=9C =D0=9A=D0=9B=D0=9E=D0=A3=D0=9D=D0=90 =D0=904 !~8,166,146~0~2~64~https://www.youtube.com/watch?v=3DynfEk1Agrko
=D0=98=D0=B3=D1=80=D1=83=D1=88=D0=B5=D1=87=D0=BD=D1=8B=D0=B9 =D0=93=D0=95=D0=9B=D0=98=D0=9A =D0=B7=D0=B0 10$ vs 100$ vs 1000$ =D0=A7=D0=B5=D0=BB=D0=BB=D0=B5=D0=BD=D0=B4=D0=B6 !~8,328,156~0~2~64~https://www.youtube.com/watch?v=3Dv5smnc8pQlY
=D0=92=D1=8B=D0=B6=D0=B8=D0=B2=D0=B0=D0=B5=D0=BC =D0=B2 =D0=A2=D0=AE=D0=A0=D0=AC=D0=9C=D0=95 =D0=91=D0=90=D0=A0=D0=91=D0=98 24 =D0=A7=D0=B0=D1=81=D0=B0 !~10,143,920~0~2~64~https://www.youtube.com/watch?v=3Djug_KReUqOU
=D0=9F=D0=A0=D0=AF=D0=A2=D0=9A=D0=98 =D0=9F=D0=9E =D0=A6=D0=92=D0=95=D0=A2=D0=90=D0=9C =D0=A7=D0=95=D0=9B=D0=9B=D0=95=D0=9D=D0=94=D0=96 !~10,591,587~0~2~64~https://www.youtube.com/watch?v=3D0KERXrmPJaw
=D0=A1=D1=82=D0=B0=D0=BB=D0=B8 =D0=93=D0=9D=D0=9E=D0=9C=D0=90=D0=9C=D0=98 =D0=BD=D0=B0 24 =D0=A7=D0=B0=D1=81=D0=B0 !~8,624,222~0~2~71~https://www.youtube.com/watch?v=3DlpvkNe6k41w
=D0=AD=D0=BA=D1=81=D1=82=D1=80=D0=B5=D0=BC=D0=B0=D0=BB=D1=8C=D0=BD=D1=8B=D0=B5 1 =D0=9C=D0=98=D0=9D=D0=A3=D0=A2=D0=90 vs 10 =D0=9C=D0=98=D0=9D=D0=A3=D0=A2 vs 1 =D0=A7=D0=90=D0=A1 =D0=B7=D0=B0 24 =D0=A7=D0=B0=D1=81=D0=B0 !~9,679,982~0~2~71~https://www.youtube.com/watch?v=3DPkyBW-qTrTw
=D0=AD=D0=BA=D1=81=D1=82=D1=80=D0=B5=D0=BC=D0=B0=D0=BB=D1=8C=D0=BD=D1=8B=D0=B5 =D0=9F=D0=A0=D0=90=D0=9D=D0=9A=D0=98 =D0=BD=D0=B0=D0=B4 =D0=94=D1=80=D1=83=D0=B3=D0=BE=D0=BC =D0=A7=D0=B5=D0=BB=D0=BB=D0=B5=D0=BD=D0=B4=D0=B6 !~10,457,422~0~2~71~https://www.youtube.com/watch?v=3DqAj_WmMq3lw
=D0=9A=D1=82=D0=BE =D0=9B=D1=83=D1=87=D1=88=D0=B5 =D0=9F=D0=BE=D1=81=D1=82=D1=80=D0=BE=D0=B8=D1=82 =D0=B8=D0=B7 =D0=9B=D0=95=D0=93=D0=9E =D0=A7=D0=B5=D0=BB=D0=BB=D0=B5=D0=BD=D0=B4=D0=B6 !~9,900,409~0~2~78~https://www.youtube.com/watch?v=3Drm6h1mfyHs4
=D0=A8=D0=9A=D0=9E=D0=9B=D0=90 =D0=91=D0=90=D0=9D=D0=94=D0=98=D0=A2=D0=9E=D0=92 ! =D0=A1=D1=82=D0=B0=D0=BB=D0=B8 =D0=91=D0=90=D0=9D=D0=94=D0=98=D0=A2=D0=90=D0=9C=D0=98 =D0=BD=D0=B0 24 =D0=A7=D0=B0=D1=81=D0=B0 =D0=A7=D0=B5=D0=BB=D0=BB=D0=B5=D0=BD=D0=B4=D0=B6 !~11,366,466~0~3~80~https://www.youtube.com/watch?v=3DbDquDTTUjeo
=D0=9F=D0=90=D0=A3=D0=97=D0=90 =D0=A7=D0=B5=D0=BB=D0=BB=D0=B5=D0=BD=D0=B4=D0=B6 =D0=B2 =D0=91=D0=90=D0=A2=D0=A3=D0=A2=D0=9D=D0=9E=D0=99 =D0=90=D0=A0=D0=95=D0=9D=D0=95 !~12,224,161~0~3~80~https://www.youtube.com/watch?v=3DSpm41pznCnw
=D0=9A=D0=92=D0=90=D0=94=D0=A0=D0=9E=D0=9A=D0=9E=D0=9F=D0=A2=D0=95=D0=A0 =D0=B7=D0=B0 10$ vs 100$ vs 1000$ =D0=A7=D0=B5=D0=BB=D0=BB=D0=B5=D0=BD=D0=B4=D0=B6 !~8,232,941~0~3~80~https://www.youtube.com/watch?v=3DOWin4MqJ_UA
=D0=A0=D0=98=D0=92=D0=98 =D0=A1=D1=82=D0=B0=D0=BB=D0=B0 =D0=9F=D0=A0=D0=98=D0=97=D0=A0=D0=90=D0=9A=D0=9E=D0=9C =D0=BD=D0=B0 24 =D0=A7=D0=B0=D1=81=D0=B0 !~10,200,916~0~3~80~https://www.youtube.com/watch?v=3D1AbhNt1PGlw
=D0=9E=D1=82 1 =D0=B4=D0=BE 11 =D0=9A=D0=9B=D0=90=D0=A1=D0=A1=D0=90 =D0=B7=D0=B0 24 =D0=A7=D0=B0=D1=81=D0=B0 !~14,751,002~0~3~80~https://www.youtube.com/watch?v=3DfLOd9ET5-wE
=D0=A1=D1=83=D0=BC=D0=B0=D1=81=D1=88=D0=B5=D0=B4=D1=88=D0=B8=D0=B9 =D0=A1=D0=9E=D0=A1=D0=95=D0=94 =D0=9F=D1=8B=D1=82=D0=B0=D0=B5=D1=82=D1=81=D1=8F =D0=9D=D0=B0=D1=81 =D0=A3=D0=91=D0=98=D0=A2=D0=AC !~10,878,203~0~3~80~https://www.youtube.com/watch?v=3D5nphFuDMCJM
