title~views~uptime_y~uptime_m~uptime_d~link
Masha and the Bear 2023 =E2=9A=BD All You Need is a Goal =F0=9F=A5=85 (Trailer) Coming on October 20! =F0=9F=8E=AC~42,647~0~1~29~https://www.youtube.com/watch?v=3D44EDrmyt9Io
NEW APP! Masha and the Bear =E2=80=94 Greeting videos. Knock, Knock! It's congratulation time o'clock!~69,046~0~1~30~https://www.youtube.com/watch?v=3Dmp_hnBB3yhQ
Masha and the Bear 2023 =F0=9F=8E=AC NEW EPISODE! =F0=9F=8E=AC Best cartoon collection =F0=9F=90=B7 When a Pig Flies =F0=9F=92=AD~522,362~0~1~33~https://www.youtube.com/watch?v=3DGw04GFFFRI8
Masha and the Bear 2023 =F0=9F=A4=94 Find the item=E2=9D=93Best episodes cartoon collection =F0=9F=8E=AC~778,672~0~1~36~https://www.youtube.com/watch?v=3DR07zLmaV9-8
NEW EPISODE =F0=9F=90=B7 When a Pig Flies =F0=9F=92=AD (Episode 105) =F0=9F=8D=93 Masha and the Bear 2023~1,630,281~0~1~40~https://www.youtube.com/watch?v=3DPFAssWKWcGc
Masha and the Bear 2023 =F0=9F=90=B7 When a Pig Flies =F0=9F=92=AD (Trailer) Coming on October 6! =F0=9F=8E=AC~696,219~0~1~43~https://www.youtube.com/watch?v=3DO1FDzE4G8So
Masha and the Bear 2023 =F0=9F=90=A3 Don't stand by =F0=9F=A4=97=F0=9F=9B=A1=EF=B8=8F Best episodes cartoon collection =F0=9F=8E=AC~3,024,410~0~1~43~https://www.youtube.com/watch?v=3DjS64DZ4V2FA
Masha and the Bear 2023 =F0=9F=8E=AC NEW EPISODE! =F0=9F=8E=AC Best cartoon collection =F0=9F=91=8B Coming Back Ain't Easy =F0=9F=A4=97~1,879,001~0~1~50~https://www.youtube.com/watch?v=3DoEasNS6IJm0
Masha and the Bear 2023 =F0=9F=A5=B0 Kindness uncovered =F0=9F=A4=97 Best episodes cartoon collection =F0=9F=8E=AC~1,953,479~0~1~50~https://www.youtube.com/watch?v=3DfrbW90lAQLk
Masha and the Bear =F0=9F=91=BB Masha's Spooky Stories =F0=9F=A6=92 Monstrous Tale About Tall And Short =F0=9F=8F=9C=EF=B8=8F (Episode 24)~305,997~0~1~57~https://www.youtube.com/watch?v=3Ddok5JxOnddU
Masha and the Bear 2023 =F0=9F=A7=98 Feel good inside and out =F0=9F=8F=B8 Best episodes cartoon collection =F0=9F=8E=AC~1,527,037~0~2~59~https://www.youtube.com/watch?v=3DqlyZCx8RDDk
Masha and the Bear 2023 =F0=9F=99=8C Anything is possible =F0=9F=94=9D 1 hour =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~1,288,885~0~2~59~https://www.youtube.com/watch?v=3D0WWtQTm53QQ
NEW EPISODE =F0=9F=91=8B Coming Back Ain't Easy =F0=9F=A4=97 (Episode 53) =F0=9F=8D=93 Masha and the Bear 2023~5,677,005~0~2~59~https://www.youtube.com/watch?v=3DVF9kmgQuNfA
Masha and the Bear 2023 =F0=9F=91=8B Coming Back Ain't Easy =F0=9F=A4=97 (Trailer) Coming on September 8! =F0=9F=8E=AC~1,018,175~0~2~59~https://www.youtube.com/watch?v=3Dhd0NbC4rxFI
Masha and the Bear 2023 =F0=9F=8F=AB School spirit =F0=9F=99=8B=E2=80=8D=E2=99=80=EF=B8=8F=F0=9F=99=8C Best episodes cartoon collection =F0=9F=8E=AC~1,089,786~0~2~59~https://www.youtube.com/watch?v=3DYGNSGvSz5dM
Masha and the Bear 2023 =F0=9F=A4=AA Trading Places Day =F0=9F=90=BB 30 min =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~1,498,199~0~2~59~https://www.youtube.com/watch?v=3D8a1uku9Rvq0
Masha and the Bear =F0=9F=8E=B5 Where the elephants are smiling =F0=9F=90=98=F0=9F=98=80 =F0=9F=87=AE=F0=9F=87=B3 The Magic Flute =F0=9F=91=B3=E2=80=8D=E2=99=80=EF=B8=8F Songs from cartoons~770,767~0~2~59~https://www.youtube.com/watch?v=3DeQT7cNx-b8o
Masha and the Bear 2023 =F0=9F=A4=94 Find the item=E2=9D=93Best episodes cartoon collection =F0=9F=8E=AC~1,512,646~0~2~59~https://www.youtube.com/watch?v=3D4I0rii--9Y0
Masha and the Bear 2023 =F0=9F=8E=9F=EF=B8=8F Save the date =F0=9F=91=8F=E2=9C=A8 Best episodes cartoon collection =F0=9F=8E=AC~924,439~0~2~59~https://www.youtube.com/watch?v=3D7xoG1HxG_gg
Masha and the Bear 2023 =F0=9F=91=97 Fun Dress-Ups =F0=9F=91=92 1 hour =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~2,682,689~0~3~90~https://www.youtube.com/watch?v=3DqOUdWnI7QLo
