title~views~uptime_y~uptime_m~uptime_d~link
As=C3=AD es el PRIMER OXXO del mundo | =C2=BFC=C3=B3mo fue tan exitoso? =F0=9F=9B=92~133,390~0~1~29~https://www.youtube.com/watch?v=3DWa7zKL2abFc
Com=C3=AD en el restaurante M=C3=81S ANTIGUO del mundo | =C2=A1300 a=C3=B1os abierto!~3,574,036~0~1~34~https://www.youtube.com/watch?v=3DwUuS1JCZGHs
I joined a community of &quot;OKUPAS&quot; in Spain | Right or invasion?~1,771,462~0~1~37~https://www.youtube.com/watch?v=3Dow1wdsm64Jk
People line up HOURS for this pizza: is it worth it? | Joe's Pizza NY =F0=9F=8D=95~3,563,044~0~1~40~https://www.youtube.com/watch?v=3Dpu6Li8tm8YQ
The &quot;most miraculous&quot; tree in Asia | MAGICAL or DISTURBING? =F0=9F=8C=B3=F0=9F=92=80~1,257,570~0~1~42~https://www.youtube.com/watch?v=3D90F_cUh7OYs
The WORLD'S MOST TRAFFICED CITY: how chaotic is it? Jakarta~3,180,667~0~1~43~https://www.youtube.com/watch?v=3DWIJVilqIb9Q
INDONESIA'S complicated RELIGIONS: a hidden battle?~1,435,140~0~1~43~https://www.youtube.com/watch?v=3DwdrwVNDmSgQ
I bought the new iPhone 15 PRO: Is it worth spending THAT much?~5,485,737~0~1~43~https://www.youtube.com/watch?v=3Dij1iki29mMY
I entered the dreaded &quot;DEATH CAVE&quot; =F0=9F=92=80~1,638,157~0~1~50~https://www.youtube.com/watch?v=3DwIQN7zhXmR4
The BEST and the WORST of going to Bali | The &quot;cheapest&quot; paradise?~2,917,864~0~1~50~https://www.youtube.com/watch?v=3Dh8ZvBKBFxvY
Bali's &quot;aggressive and thieving&quot; monkey park: IS IT TRUE | Ubud =F0=9F=87=AE=F0=9F=87=A9=F0=9F=90=B5~2,516,424~0~1~57~https://www.youtube.com/watch?v=3DoeVypIHMN9Y
Tasting COFFEE MADE FROM POOP | What does it taste like and why is it so expensive?~2,966,185~0~2~59~https://www.youtube.com/watch?v=3DmAMjXFA2Ve0
