title~views~uptime_y~uptime_m~uptime_d~link
BIGG BOSS OR YOUTUBE? The Final Verdict | CARRYMINATI Q&amp;A 2023~16,997,193~0~3~81~https://www.youtube.com/watch?v=3D9VdFCP6nC-g
JALWA - CARRYMINATI X WILY FRENZY~12,417,097~0~4~112~https://www.youtube.com/watch?v=3DP6EfPeYnf0c
DAILY VLOGGERS PARODY =F0=9F=98=98 | CARRYMINATI~59,062,652~0~5~143~https://www.youtube.com/watch?v=3D5XVoRGhrhZk
MC SALMAN FT BIGG BOSS - CARRYMINATI~39,650,104~0~6~173~https://www.youtube.com/watch?v=3DiFtH6g5HEVM
MAGGIE KHAO BODY BANAO | CARRYMINATI~35,158,724~0~10~293~https://www.youtube.com/watch?v=3DIoTL9xZOdP0
PAKISTANI GHOST HUNTERS~29,115,958~0~13~385~https://www.youtube.com/watch?v=3Dpmj9gF7H_lQ
LADKIYON KA BEST FRIEND~39,522,243~1~14~416~https://www.youtube.com/watch?v=3Dl6BChpns5w8
INDIAN FOOD MAGIC | CARRYMINATI~43,044,233~1~14~416~https://www.youtube.com/watch?v=3D-LIMVVfRp6Q
GETTING MARRIED? QNA 2022 | CARRYMINATI~21,865,639~1~14~416~https://www.youtube.com/watch?v=3DG6qLfTA2PFw
THARA BHAiiiii | CARRYMINATI~63,396,500~1~14~416~https://www.youtube.com/watch?v=3D0jUj3rfO7eM
METUBE SPACE | CARRYMINATI~20,176,901~1~14~416~https://www.youtube.com/watch?v=3DxLjMzNKUXKs
CANCEL CULTURE ORGANIZATION | CARRYMINATI~22,852,054~2~26~781~https://www.youtube.com/watch?v=3DQ9eh308Mstc
SOCIAL MEDIA CULTURE | CARRYMINATI~22,398,694~2~26~781~https://www.youtube.com/watch?v=3DZAvKl1RRVh8
THE LAND OF BIGG BOSS | CARRYMINATI~54,438,169~2~26~781~https://www.youtube.com/watch?v=3Dd7sewLjzNs0
VARDAAN - CARRYMINATI X Wily Frenzy~73,813,041~2~26~781~https://www.youtube.com/watch?v=3D7mFvyrNHZRY
MASSAGE PARADISE~40,223,599~2~26~781~https://www.youtube.com/watch?v=3DW2uUlW8PLOY
IDLES OF INDIA: GONE RIGHT~48,345,029~3~38~1146~https://www.youtube.com/watch?v=3DabhuAYtmk58
THE ART OF BAD WORDS~47,872,158~3~38~1146~https://www.youtube.com/watch?v=3Dq2QvA3wwAe0
YALGAAR - CARRYMINATI X Wily Frenzy~353,195,450~3~38~1146~https://www.youtube.com/watch?v=3DzzwRbKI2pn4
YALGAAR....COMING SOON~39,044,225~3~38~1146~https://www.youtube.com/watch?v=3DWUdo9lzpaas
STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END~79,355,197~3~38~1146~https://www.youtube.com/watch?v=3DYXlRTFhfE_4
WARRIOR - CARRYMINATI X Wily Frenzy~16,221,502~3~38~1146~https://www.youtube.com/watch?v=3DWNWZNyXSvW0
FILM THE FLARE~57,645,823~3~38~1146~https://www.youtube.com/watch?v=3DGOFQN8otiYs
ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI~29,336,201~3~38~1146~https://www.youtube.com/watch?v=3DWcjMwfwfojQ
BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI~74,512,399~3~38~1146~https://www.youtube.com/watch?v=3D9DAKh_XCk6g
Zindagi - CARRYMINATI X Wily Frenzy~34,604,760~3~38~1146~https://www.youtube.com/watch?v=3D0Cyvhz1GmRI
LADKA LADKI AUR WOH | CARRYMINATI~33,522,938~3~38~1146~https://www.youtube.com/watch?v=3DARKlB5Roq14
NOT A DARING SHOW FT. WAKAR ZAQA  | CARRYMINATI~48,413,018~3~38~1146~https://www.youtube.com/watch?v=3DSE7Yx_b0bE8
TALENTED PEOPLE OF VIGO | CARRYMINATI~41,183,789~4~50~1512~https://www.youtube.com/watch?v=3DzIysUw3B3Gs
