title~views~uptime_y~uptime_m~uptime_d~link
OS AVENTUREIROS EM: O COLCH=C3=83O M=C3=81GICO DO LUCCAS NETO~502,536~0~1~34~https://www.youtube.com/watch?v=3D_LYY8nuY-Nw
EXPLORAMOS UM MUNDO DE DINOSSAUROS, DOCES GIGANTES, GAL=C3=81XIA E FUNDO DO MAR !!~481,046~0~1~39~https://www.youtube.com/watch?v=3DnwypLe2FYfk
Luccas Neto Portugu=C3=AAs Brasil | Luke bebezinho levado | Compilado + 1 HORA~850,359~0~1~41~https://www.youtube.com/watch?v=3DcBk235087Rg
OS AVENTUREIROS E A PATRULHA CANINA SEMPRE AJUDANDO | Paw Patrol~619,685~0~1~43~https://www.youtube.com/watch?v=3D3WgzEtBX7H8
LUKE AJUDOU O MINION PERDIDO !!! (MISSAO OS AVENTUREIROS AO RESGATE)~1,574,641~0~2~59~https://www.youtube.com/watch?v=3DBKCZrkdrI_M
LUCCAS NETO | QUAL SUA ALTURA ? | 60 MIN em portugu=C3=AAs~1,672,708~0~2~59~https://www.youtube.com/watch?v=3D2t-351xtUbs
LUCCAS TOON | 1 HORA dos melhores momentos do Luke com Os Aventureiros~1,682,872~0~2~59~https://www.youtube.com/watch?v=3DjZ7Sn_vxhYw
DESCOBRIMOS O PODER DO LUKE APRENDIZ DE AVENTUREIRO~3,413,150~0~2~59~https://www.youtube.com/watch?v=3DuhaSs5mquPM
LUCCAS NETO E LUKE BRINCAM DE SUPER HER=C3=93IS FAVORITOS (+1 HORA)~5,828,117~0~2~59~https://www.youtube.com/watch?v=3DMdWUks6WAzk
EPIS=C3=93DIOS FAVORITOS DO LUCCAS NETO E SEU FILHO LUKE (M=C3=8AS DE JULHO)~1,157,983~0~3~90~https://www.youtube.com/watch?v=3DIaxyW30_Uus
M=C3=BAsica Triste | Esqueceram o anivers=C3=A1rio | LUCCAS NETO~286,339~0~3~90~https://www.youtube.com/watch?v=3DlvBlXUH8xns
LUCCAS NETO E LUKE ENSINAM PROFISS=C3=95ES PARA BARBIE~1,033,130~0~3~90~https://www.youtube.com/watch?v=3DgWPrDkAoK3E
LUCCAS NETO BRINCA COM OVO DA BARBIE SURPRESA~2,599,524~0~3~90~https://www.youtube.com/watch?v=3DbmkRwQXsN2c
LUCCAS NETO E A BONECA TROSLADORA~938,843~0~3~90~https://www.youtube.com/watch?v=3DfG_V3W6_epc
1 HORA MELHORES V=C3=8DDEOS ANTIGOS LUCCAS NETO (PARA VER NA TELEVIS=C3=83O)~2,088,303~0~3~90~https://www.youtube.com/watch?v=3DTnyfXn7dMt8
LUKE N=C3=83O QUER MAIS SER UM AVENTUREIRO =E2=80=93 NOVA TEMPORADA OS AVENTUREIROS~1,731,072~0~3~90~https://www.youtube.com/watch?v=3DuYb5mnKUdvg
AVENTUREIRA ROSA VIROU ALUNA DA ESCOLINHA DO LUCCAS NETO~485,228~0~3~90~https://www.youtube.com/watch?v=3DqiH6evotfE4
LUCCAS NETO E GI ADOTAM UM LE=C3=83O !!!~262,744~0~3~90~https://www.youtube.com/watch?v=3DUb3O5AobeUQ
LUCCAS NETO E LUKE | 60 Minutos com Os Aventureiros~1,070,418~0~4~121~https://www.youtube.com/watch?v=3DkMm4JLj987I
LUKE GOSTA MAIS DO HOMEM ARANHA !!!~895,505~0~4~121~https://www.youtube.com/watch?v=3DpYmRC19mjHw
LUCCAS NETO | 60 Minutos com Luccas e Gi | Em portugu=C3=AAs~1,921,481~0~4~121~https://www.youtube.com/watch?v=3DxAc5DsiNc1M
ACAMPAMOS DENTRO DE UM CINEMA DE VERDADE~360,226~0~4~121~https://www.youtube.com/watch?v=3Dem0ptuG4pPU
LUCCAS TOON EM: UMA AULA SOBRE REGRAS (Educa=C3=A7=C3=A3o sexual para Crian=C3=A7as)~934,586~0~4~121~https://www.youtube.com/watch?v=3DgbXyXz4IfCE
LUCCAS NETO | O Melhor do Luccas Neto por 1 hora | Em portugu=C3=AAs~2,861,749~0~4~121~https://www.youtube.com/watch?v=3D-pptA8E56Xo
LUCCAS NETO BRINCA NA BRINQUEDOTECA DO FILHO LUKE~480,246~0~4~121~https://www.youtube.com/watch?v=3DA9ft0CkpqS4
LUCCAS NETO BRINCA NA SUA CASA COM LUKE E GI~2,906,059~0~4~121~https://www.youtube.com/watch?v=3DK7F-pv9RtI0
O FILHO DO AVENTUREIRO AZUL VIROU SUPER HEROI =E2=80=93 V=C3=8DDEOS NOVOS INFANTIS~1,880,875~0~4~121~https://www.youtube.com/watch?v=3DY3G2_5jCmFw
LUKE FILHO DO LUCCAS NETO VIROU APRENDIZ DE AVENTUREIRO AZUL!~4,810,063~0~4~121~https://www.youtube.com/watch?v=3Da7huvgA-AZ0
Luccas Neto Os Aventureiros A ORIGEM Melhores Momentos e Efeitos Especiais~182,154~0~4~121~https://www.youtube.com/watch?v=3D5gMZFku1czo
GIOVANNA VIROU A MAM=C3=83E DOS AVENTUREIROS =E2=80=93 EPIS=C3=93DIO IN=C3=89DITO~1,421,323~0~4~121~https://www.youtube.com/watch?v=3Dm7iX2tyEWK0
LUCCAS NETO PEGOU O NARIZ DA GI DE BRINCADEIRA =E2=80=93 NOVA S=C3=89RIE INFANTIL~429,079~0~4~121~https://www.youtube.com/watch?v=3DqXcNFa2fq8U
LUCCAS NETO E A SUPER LIMPEZA =E2=80=93 NOVA TEMPORADA~1,009,794~0~4~121~https://www.youtube.com/watch?v=3DyGfGW4MQ3-k
LUCCAS TOON EM: FESTA DO PIJAMA~430,206~0~4~121~https://www.youtube.com/watch?v=3D58IgIhLT34Y
UM MOSTRO ATACOU O PIQUI-NIQUE DAS PRINCESAS~308,361~0~4~121~https://www.youtube.com/watch?v=3D19PrfAqUdgA
UMA F=C3=83 CONHECEU A GI E O LUCCAS NETO !!!~1,821,463~0~4~121~https://www.youtube.com/watch?v=3DD5F3_dgnNdQ
AVENTUREIROS DESCOBREM VERDADES E MENTIRAS SOBRE OS ANIMAIS~171,156~0~4~121~https://www.youtube.com/watch?v=3D3VVq9gvtt-8
