title~views~uptime_y~uptime_m~uptime_d~link
We're Going To The Pumpkin Patch + More | Kids Halloween Music | Super Simple Songs~297,443~0~2~55~https://www.youtube.com/watch?v=3DJg9ciJZK7cw
We're Going To The Pumpkin Patch | Kids Songs | Super Simple Songs~1,590,927~0~2~71~https://www.youtube.com/watch?v=3DU9FmaEE4aSU
This Is The Way + More | Kids Nursery Rhymes | Super Simple Songs~1,896,206~0~3~80~https://www.youtube.com/watch?v=3D-5lF306JuYg
Down On The Plain + More | Kids Songs | Super Simple Songs~1,438,055~0~3~80~https://www.youtube.com/watch?v=3DzG_ve_VZW_U
Down On The Plain | Kids Cowboy Song | Super Simple Songs~1,410,162~0~3~80~https://www.youtube.com/watch?v=3DkH9LjP8OBM8
Adding Up To 10 + More | Kids Songs | Super Simple Songs~1,235,434~0~4~111~https://www.youtube.com/watch?v=3DCNVCL0LH8KQ
Adding Up To 10 | Count Along With The Bumble Nums | Super Simple Songs~1,129,594~0~4~111~https://www.youtube.com/watch?v=3DvR4pVGNisZA
Let's Go To The Beach + More | Kids Songs | Super Simple Songs~3,345,440~0~4~111~https://www.youtube.com/watch?v=3DJBhNqFHv5U8
Let's Go To The Beach | Summer Fun For Kids | Super Simple Songs~2,721,873~0~4~111~https://www.youtube.com/watch?v=3DsK8T8gbYIfA
Finny The Shark Week! | Children's Music Compilation | Super Simple Songs~3,022,638~0~4~111~https://www.youtube.com/watch?v=3D3stxVFei6PE
Toodly Doodly Doo 2 | Kids Songs | Super Simple Songs~14,140,663~0~5~142~https://www.youtube.com/watch?v=3DH5uQuQ06SVM
Caitie's Classroom Songs and Sing Alongs | Preschool Music | Super Simple Songs~4,348,860~0~5~142~https://www.youtube.com/watch?v=3DWt_NVjv3x8A
Can You Imagine | Kids Songs | Super Simple Songs~1,643,570~0~5~142~https://www.youtube.com/watch?v=3Dk7B5R6uYsYk
Ducks, Fish, Frogs, Sharks, and More! Water Songs | Kids Songs | Super Simple Songs~4,424,137~0~5~142~https://www.youtube.com/watch?v=3D1H45b7jFyNM
Good Night Sleep Tight | Lullaby for Kids | Super Simple Songs~1,907,715~0~6~172~https://www.youtube.com/watch?v=3DGbdEhhxyBo4
Stand Up Sit Down + More | Kids Music | Super Simple Songs~5,647,255~0~6~172~https://www.youtube.com/watch?v=3DHF5vGPU4vUo
Jack &amp; Jill featuring The Super Simple Puppets | Kids Songs | Super Simple Songs~6,588,218~0~6~172~https://www.youtube.com/watch?v=3DvmSN7TatwaM
Super Simple Disco + More | Kids Songs | Super Simple Songs~1,795,858~0~6~172~https://www.youtube.com/watch?v=3DT_to0yV0WIk
Super Simple Disco | Kids Dance Song | Super Simple Songs~3,387,693~0~6~172~https://www.youtube.com/watch?v=3DDj4W819wIIE
Six Little Ducks + More | Kids Music | Super Simple Songs~7,092,003~0~7~203~https://www.youtube.com/watch?v=3DykqtdDAjFVs
Six Little Ducks | Kids Nursery Rhymes | Super Simple Songs~16,365,293~0~7~203~https://www.youtube.com/watch?v=3DmVURQSMiYUE
What Do You Like To Do? + More Kids Songs | @FinnyTheShark  With Super Simple Songs Characters!~4,943,801~0~7~203~https://www.youtube.com/watch?v=3DwEgH-bqBKnU
Red Yellow Green Blue featuring The Super Simple Puppets | Kids Songs | Super Simple Songs~12,833,083~0~7~203~https://www.youtube.com/watch?v=3D6PyYx255Qcg
Raindrops Falling + More | Kids Songs | Super Simple Songs~4,720,154~0~8~233~https://www.youtube.com/watch?v=3DcxCbn2oPTls
Raindrops Falling=F0=9F=92=A7| Kids Songs | Super Simple Songs~9,637,356~0~8~233~https://www.youtube.com/watch?v=3DLxd64ix4sG4
Animal Songs For Kids! | Earth Month Celebration | Super Simple Songs~3,755,206~0~8~233~https://www.youtube.com/watch?v=3DYaV4Zq0kLQU
Days Of The Week featuring The Super Simple Puppets | Kids Songs | Super Simple Songs~1,683,085~0~8~233~https://www.youtube.com/watch?v=3DvcMmiR7jWQc
The Hand Washing Song And More | Children's Music | Super Simple Songs~5,662,394~0~9~264~https://www.youtube.com/watch?v=3DS9yh26O8Z6w
The Hand Washing Song =F0=9F=A7=BC | Kids Songs | Super Simple Songs~20,419,332~0~9~264~https://www.youtube.com/watch?v=3D8lu587o8T3c
Keep On Swimming + More! | Kids Music | Super Simple Songs~3,971,026~0~9~264~https://www.youtube.com/watch?v=3DiWsO7lZftiI
My Teddy Bear Featuring The Super Simple Puppets | Kids Music | Super Simple Songs~10,874,750~0~9~264~https://www.youtube.com/watch?v=3DmxIhlA9u89Y
Making A Card For My Valentine + More | Kids Songs | Super Simple Songs~3,099,128~0~10~292~https://www.youtube.com/watch?v=3DTv-eOs4FsaU
Making A Card For My Valentine | Music For Kids | Super Simple Songs~9,425,558~0~10~292~https://www.youtube.com/watch?v=3DQs4qZwIffjI
If You're Sleepy &amp; You Know It + More | 60 Minutes Of Children's Music | Super Simple Songs~2,544,376~0~10~292~https://www.youtube.com/watch?v=3DR8o-1mbEPFQ
If You're Sleepy And You Know It | Music For Bedtime | Super Simple Songs~7,863,652~0~10~292~https://www.youtube.com/watch?v=3DwDLJaMnBJ-s
Nap Time + More | Kids Music Compilation | Super Simple Songs~1,902,531~0~10~292~https://www.youtube.com/watch?v=3DGW84s5BglJU
Nap Time | Kids Lullaby | Super Simple Sleep Routine Songs~5,632,041~0~11~323~https://www.youtube.com/watch?v=3DYq6qYbwqAk8
It's A New Year! | Favorite Kids Music | Super Simple Songs~5,896,345~0~11~323~https://www.youtube.com/watch?v=3Dh8e_dyjUpMI
Best Kids Songs from Super Simple | Children's Music~18,942,279~0~11~323~https://www.youtube.com/watch?v=3DgjpgSLXCdbc
Super Simple Christmas Songs | Kids Music | Family Holiday Carols~2,079,488~0~11~323~https://www.youtube.com/watch?v=3DdEO-AlXFJl8
Let's Make A Snowman | Kids Winter Songs | Super Simple Songs~2,194,793~0~12~354~https://www.youtube.com/watch?v=3DF0Fe576R7C4
We Wish You A Merry Christmas feat. The Super Simple Puppets | Kids Christmas | Super Simple Songs~2,516,338~0~12~354~https://www.youtube.com/watch?v=3DdGpxkD-hh8Q
Gingerbread House | Kids Songs | Super Simple Songs~3,962,239~0~12~354~https://www.youtube.com/watch?v=3DFODafib0ntI
S-A-N-T-A | ft. the Super Simple Puppets | Kids Christmas Music | Super Simple Songs~2,064,276~0~12~354~https://www.youtube.com/watch?v=3DQVUcllKglfk
The Great Christmas Tree Hunt | Kids Songs | Super Simple Songs~5,150,589~0~13~384~https://www.youtube.com/watch?v=3DVvHhQBelGZE
I'm Thankful | Kids Songs | Super Simple Songs~19,166,953~0~13~384~https://www.youtube.com/watch?v=3Dew9a1JKSfO0
World Children's Day Celebration with Super Simple Songs | Kids Songs~3,740,371~0~13~384~https://www.youtube.com/watch?v=3Dja-YIat4JOQ
The Fish Go Swimming &amp; More Kids Songs | Super Simple Songs~12,985,308~1~14~415~https://www.youtube.com/watch?v=3D0m73sAV-I2c
The Alphabet Chant feat. The Super Simple Puppets | Kids Songs | Super Simple Songs~3,674,315~1~14~415~https://www.youtube.com/watch?v=3DAmNyA9ovXw0
This Is The Way We Make Friends | Kids Songs | Super Simple Songs~43,106,644~1~14~415~https://www.youtube.com/watch?v=3DAT8qLCmseuE
Humpty Dumpty featuring the Super Simple Puppets | Kids Songs | Super Simple Songs~5,860,534~1~14~415~https://www.youtube.com/watch?v=3DHhixmtAIwQs
500 Ducks + More Kids Counting Songs | Kids Songs | Super Simple Songs~32,089,515~1~14~415~https://www.youtube.com/watch?v=3DdtfXakTi9II
Happy Birthday | Kids Songs | Super Simple Songs~39,193,330~1~14~415~https://www.youtube.com/watch?v=3Dc-v-7JRisLA
Crawl Like a Caterpillar &amp; More Outdoor Camping Songs for Kids! | Kids Songs | Super Simple Songs~13,550,413~1~14~415~https://www.youtube.com/watch?v=3Dd1N94VxqZPM
Take Me Out To The Ball Game | ft. the Super Simple Puppets | Kids Songs | Super Simple Songs~10,884,551~1~14~415~https://www.youtube.com/watch?v=3DH9gu4brdC8k
Mr. Golden Sun with Finny! &amp; More Finny the Shark Songs | Kids Songs | Super Simple Songs~19,884,284~1~14~415~https://www.youtube.com/watch?v=3DG9mlcKj2HFA
Super Simple Summertime Songs! | Kids Songs | Super Simple Songs~5,399,854~1~14~415~https://www.youtube.com/watch?v=3Dm-fXX-6DylU
Peanut Butter &amp; Jelly featuring The Super Simple Puppets | Kids Songs | Super Simple Songs~42,564,481~1~14~415~https://www.youtube.com/watch?v=3DoZa415bNvSA
There's A Monster In My Tummy | + More Kids Songs | Super Simple Songs~32,121,049~1~14~415~https://www.youtube.com/watch?v=3DkSNOF7vNplM
We're Going On A Rocket Ship | Kids Songs | Super Simple Songs~31,085,641~1~14~415~https://www.youtube.com/watch?v=3DwE0qcTPGCVs
Five Little Speckled Frogs featuring The Super Simple Puppets | Kids Songs | Super Simple Songs~66,500,244~1~14~415~https://www.youtube.com/watch?v=3D8VCpa4blanQ
Picked A Strawberry | Kids Songs | Super Simple Songs~61,712,007~1~14~415~https://www.youtube.com/watch?v=3DDW92lXc10cQ
Pink Purple Orange Brown feat. The Super Simple Puppets | Kids Songs | Super Simple Songs~4,372,564~1~14~415~https://www.youtube.com/watch?v=3Df1WN-qxmpOA
Happy Mother's Day! Special Kids Songs for Mother's Day from Super Simple Songs~3,968,075~1~14~415~https://www.youtube.com/watch?v=3DXzCXA8H-qfg
Celebrate Earth Day with Super Simple Songs! | Kid Songs to Celebrate Nature | Nursery Rhymes~13,996,071~1~14~415~https://www.youtube.com/watch?v=3DVsfO__0_wsM
