title~views~since_upload~link
Chris Learn to Share Food and Pretend Cook Toy Food~4,666,445~2 days ago 20 minutes~https://www.youtube.com/watch?v=3DsbOdf9qZNEE
Chris learns how important to take care of your teeth~11,098,080~6 days ago 14 minutes, 28 seconds~https://www.youtube.com/watch?v=3DtoZiwzf2dYM
Chris and Niki learn how to play together and share toys~6,602,096~9 days ago 26 minutes~https://www.youtube.com/watch?v=3D4I32NtGk5H4
Chris and Niki PAW Patrol Mighty Movie Toys Rescue Mission~6,762,699~13 days ago 6 minutes, 55 seconds~https://www.youtube.com/watch?v=3Dy5brOY8JxWU
Vlad and Chris help Batman and Superman save the Batcave~7,768,960~2 weeks ago 5 minutes, 5 seconds~https://www.youtube.com/watch?v=3DjS8n95E94wo
Chris and Mom learn weather and natural disasters~6,742,094~2 weeks ago 13 minutes, 12 seconds~https://www.youtube.com/watch?v=3DZfEe49ZS86Y
Chris and Niki explore Mom's ice cream truck and other funny stories for kids~7,201,262~3 weeks ago 28 minutes~https://www.youtube.com/watch?v=3D8HtOghWljpA
Chris celebrates his 4th birthday with friends~10,869,143~3 weeks ago 20 minutes~https://www.youtube.com/watch?v=3D7Fyxsu0M7oI
Chris practices safe driving and learns the rules of the road~18,258,978~1 month ago 20 minutes~https://www.youtube.com/watch?v=3DBDxP0lLMQjs
Vlad and Niki - Funny stories with Baby Alice~19,622,687~1 month ago 27 minutes~https://www.youtube.com/watch?v=3D4UNDS7jYj-M
Chris and his friends decorate playhouses for kids~5,068,576~1 month ago 20 minutes~https://www.youtube.com/watch?v=3DnGZPAjgqJdU
Learn countries with Chris and Mom | Kids adventures~43,021,919~1 month ago 19 minutes~https://www.youtube.com/watch?v=3DZdRzq5npaIo
Vlad and Niki Useful stories about taking care of your health and rules for kids~4,879,509~1 month ago 21 minutes~https://www.youtube.com/watch?v=3DHqj-cY37SlI
Vlad and Niki 12 Locks 2 - New game for kids~4,795,890~1 month ago 4 minutes, 56 seconds~https://www.youtube.com/watch?v=3DAEobdCr7n1U
Vlad and Niki Best funny stories for kids | 1 Hour Video~43,690,285~1 month ago 1 hour~https://www.youtube.com/watch?v=3DrGLkT_MrRuY
Vlad and Niki Bakugan Battle Arena~4,667,503~1 month ago 8 minutes, 15 seconds~https://www.youtube.com/watch?v=3Dgc7tpjKz-ro
Chris rides a taxi and helps his friends~17,929,647~2 months ago 27 minutes~https://www.youtube.com/watch?v=3DD5HALUwaWJA
Chris and Niki play with balloons~67,360,820~2 months ago 17 minutes~https://www.youtube.com/watch?v=3DZHrG8X43p4w
Chris and Mom Escape Challenges for kids~17,121,069~2 months ago 31 minutes~https://www.youtube.com/watch?v=3D6cFVon4xtPQ
Chris and Niki explore Mom's ice cream truck~59,204,494~2 months ago 17 minutes~https://www.youtube.com/watch?v=3DJhl23PNIWX0
Chris and Niki Escape Challenge with Mom~27,792,943~2 months ago 22 minutes~https://www.youtube.com/watch?v=3D4CN48bpOxgk
Chris learns to feed animals and other useful kids stories~14,673,967~2 months ago 28 minutes~https://www.youtube.com/watch?v=3D7kMO9S037GU
Chris plays in the children's cafe and feeds the animals~9,608,762~3 months ago 17 minutes~https://www.youtube.com/watch?v=3Dc0Vrhr2CyIY
Chris learns how to help Mom and his friends | 1 Hour Video~77,104,445~3 months ago 1 hour~https://www.youtube.com/watch?v=3DwLtjwdkdRk8
Kids stories about helping each other and good behavior with Vlad and Niki~32,070,243~3 months ago 1 hour, 1 minute~https://www.youtube.com/watch?v=3D7hta2VeHASk
Vlad and Niki Supermarket story for kids~3,305,314~3 months ago 6 minutes, 54 seconds~https://www.youtube.com/watch?v=3DKq60BP40axA
Niki and Chris learn how to play together~9,779,806~3 months ago 19 minutes~https://www.youtube.com/watch?v=3DZN5SwVocOuE
Chris and Mom learn to Solve the Mystery Challenge~14,582,725~3 months ago 14 minutes, 18 seconds~https://www.youtube.com/watch?v=3D0VwIoFxW9Hw
Driver Chris rides a taxi and helps the city rescuers~67,716,209~3 months ago 19 minutes~https://www.youtube.com/watch?v=3D3bYMS2yzhA0
Vlad and Niki Show Little Chris How to Behave~24,993,481~3 months ago 20 minutes~https://www.youtube.com/watch?v=3Dx0iaF5CBHvA
Chris and Mom show the safety rules for kids~14,856,861~3 months ago 18 minutes~https://www.youtube.com/watch?v=3DcyPX0M5vgaA
New Room for baby Alice~13,843,208~4 months ago 14 minutes, 14 seconds~https://www.youtube.com/watch?v=3D5bexjTVwJbg
Vlad and Niki and new useful stories for kids about behavior and friendship~72,816,029~4 months ago 21 minutes~https://www.youtube.com/watch?v=3Dj0l_85opj-Y
Chris and Mom learn to cook pizza~48,838,947~4 months ago 17 minutes~https://www.youtube.com/watch?v=3DNbCdQUbbga4
Chris and Mom learn to share inflatable toys~40,372,345~4 months ago 21 minutes~https://www.youtube.com/watch?v=3Dd3wfIwpvSQA
Chris rides on school bus and helps his friends get to school~43,950,747~4 months ago 14 minutes, 30 seconds~https://www.youtube.com/watch?v=3DIY6xRH_XGBM
Vlad and Niki learn how to complete challenges with friends~33,432,544~4 months ago 18 minutes~https://www.youtube.com/watch?v=3D17TWTUmLTC0
Chris and Mom build Inflatable Playhouse for children~89,887,765~4 months ago 16 minutes~https://www.youtube.com/watch?v=3D2VLPxMuQS9g
Chris and Mom Inside the Magic Cube Challenge~27,589,845~4 months ago 16 minutes~https://www.youtube.com/watch?v=3DmQ4mr20AKbs
Chris and Alice feeding animals at the farm~65,358,910~4 months ago 15 minutes~https://www.youtube.com/watch?v=3Dj1eS1MnUl7E
Vlad and Niki Fun Adventure Challenges for kids~55,692,468~5 months ago 19 minutes~https://www.youtube.com/watch?v=3D4emJ_WeWIw8
Chris and Mom show how important it is to Wash your Hands~78,770,593~5 months ago 12 minutes, 59 seconds~https://www.youtube.com/watch?v=3Dz1Qt0UDxMH8
Chris and Mom Kids story about sweet machine~15,630,983~5 months ago 16 minutes~https://www.youtube.com/watch?v=3D30VRxdmpzEc
Vlad and Niki Four Colors Garage Challenge~18,735,240~5 months ago 8 minutes, 2 seconds~https://www.youtube.com/watch?v=3D5C6HFOM9ZzY
Chris dresses up costumes and help Mom - Kids toys stories~13,109,601~5 months ago 24 minutes~https://www.youtube.com/watch?v=3Dkj2etMstCIo
Chris wants to be good brother for Alice~35,844,938~5 months ago 19 minutes~https://www.youtube.com/watch?v=3DqLC5_fYaklg
Vlad and Niki Birthday Party - New game for kids~4,598,091~5 months ago 12 minutes, 15 seconds~https://www.youtube.com/watch?v=3DVYY0uY3lk80
Chris turns into magical costumes for kids~26,496,752~5 months ago 4 minutes, 45 seconds~https://www.youtube.com/watch?v=3D2fd0aBOaJyE
Vlad and Niki Four Colors Playhouse Challenge and Other new stories for kids~22,700,412~6 months ago 20 minutes~https://www.youtube.com/watch?v=3DuP0cVWR4ML4
Vlad and Niki play with Magic 8 Ball Magical Encounters~10,562,555~6 months ago 5 minutes, 59 seconds~https://www.youtube.com/watch?v=3Dmr10fmiLlXE
Vlad and Niki 5 Locks Challenge with WWE toys Forklift~10,763,730~6 months ago 6 minutes, 45 seconds~https://www.youtube.com/watch?v=3DmNBqAEXI3XI
Chris and Mom PAW Patrol's 10 Years Anniversary~10,403,565~6 months ago 5 minutes, 40 seconds~https://www.youtube.com/watch?v=3DG_XyYFHJcYo
Vlad and Niki The best stories for kids | 1 Hour Video~67,421,835~6 months ago 1 hour, 2 minutes~https://www.youtube.com/watch?v=3DWyd9cYmLZ10
Vlad and Niki New Stories with Chris - Adventures &amp; Challenges~18,153,866~6 months ago 21 minutes~https://www.youtube.com/watch?v=3DEs6-iDWsVqE
Chris and Mom Kids story about Bees friends~9,409,663~6 months ago 4 minutes, 33 seconds~https://www.youtube.com/watch?v=3D63DlY-6pjzw
Vlad and Niki New funny stories for kids~16,920,368~6 months ago 21 minutes~https://www.youtube.com/watch?v=3DSfR9uienR5A
Vlad and Niki Lost Baby Chris~22,578,919~6 months ago 3 minutes, 57 seconds~https://www.youtube.com/watch?v=3DqRd9mKwnftU
Niki wants to be rich - Kids story about how to help mom and earn money~12,439,527~7 months ago 3 minutes, 54 seconds~https://www.youtube.com/watch?v=3DeupRHs_kUUg
Vlad and Niki Cube Challenge and funny kids stories with Baby Chris~36,649,308~7 months ago 4 minutes, 47 seconds~https://www.youtube.com/watch?v=3Dpsd4r8B89N4
Vlad and Niki Open the 10 Doors and other challenges for kids~34,327,840~7 months ago 18 minutes~https://www.youtube.com/watch?v=3Dw0JEW6OpIbc
Sink or Float with Vlad and Niki - Cool Science Experiment for Kids~88,556,699~7 months ago 5 minutes, 27 seconds~https://www.youtube.com/watch?v=3DunAYb8hEVsU
Vlad and Niki 1000 Dares Challenge~20,593,185~7 months ago 8 minutes, 39 seconds~https://www.youtube.com/watch?v=3DxqVQIovymJk
Vlad and Niki with Chris Open the 10 Doors Adventure~25,769,775~7 months ago 6 minutes, 53 seconds~https://www.youtube.com/watch?v=3DjN9pAI5HT8o
Vlad and Niki play in Inflatable Castle and other funny challenges for kids~44,983,699~7 months ago 15 minutes~https://www.youtube.com/watch?v=3D47HnlKngrb4
Vlad and Niki Four Colors Water Balloons Challenge~113,948,601~7 months ago 6 minutes, 47 seconds~https://www.youtube.com/watch?v=3DcRhEmyrulrA
Vlad and Niki visit Chris' Kids Cafe~12,110,553~8 months ago 5 minutes, 18 seconds~https://www.youtube.com/watch?v=3DHEp1OEziFAA
Vlad and Niki Mystery Boxes Challenge~19,112,884~8 months ago 8 minutes, 2 seconds~https://www.youtube.com/watch?v=3DS1OvcOrRIJQ
Vlad and Niki learn safety rules and good behavior for kids~96,143,209~8 months ago 19 minutes~https://www.youtube.com/watch?v=3DZtuyYwxueZQ
Vlad and Niki 24 Hours Baby Challenge and Other Fun Challenges for kids~26,112,526~8 months ago 9 minutes, 58 seconds~https://www.youtube.com/watch?v=3DVkFAKUDMzBY
Vlad and Niki Learn English Alphabet with pools | ABC~16,357,202~8 months ago 8 minutes, 3 seconds~https://www.youtube.com/watch?v=3D3wsapffNw-c
Niki and Chris Surprises Box Challenge in inflatable castle~9,011,619~8 months ago 6 minutes, 55 seconds~https://www.youtube.com/watch?v=3D6XWhLTnJEAc
Vlad and Niki cooking for Mom and other funny stories for kids~56,441,429~8 months ago 20 minutes~https://www.youtube.com/watch?v=3Dzt4rV7pRpFY
Vlad and Niki learn School bus rules with friends~62,720,549~8 months ago 5 minutes, 34 seconds~https://www.youtube.com/watch?v=3DWgb-Sb0UPc8
Vlad and Niki - Story about Friendship at school~17,862,765~8 months ago 6 minutes, 1 second~https://www.youtube.com/watch?v=3Dw-FcV49IHs0
