title~views~uptime_y~uptime_m~uptime_d~link
Nastya y colecci=C3=B3n de nuevas historias de Halloween. Halloween 2023~136,006~0~2~52~https://www.youtube.com/watch?v=3DUPHQ2leuqfM
Nastya y su ejemplo de buen comportamiento para los ni=C3=B1os.~193,846~0~2~55~https://www.youtube.com/watch?v=3DI2sB3aq8fS4
Nastya en un pa=C3=ADs de ensue=C3=B1o. Nuevas historias de Nastya y pap=C3=A1 en espa=C3=B1ol~316,087~0~2~58~https://www.youtube.com/watch?v=3D5in4t346bl8
Nastya y Evelyn se ayudan mutuamente como mejores amigas. Historias sobre la amistad en espa=C3=B1ol~291,273~0~2~61~https://www.youtube.com/watch?v=3D0zCiaIQX-oo
Nastya comienza su propio negocio y otras historias divertidas para ni=C3=B1os en una nueva colecci=C3=B3n~283,956~0~2~64~https://www.youtube.com/watch?v=3DtedDNMoS1nw
Nastya 24 Hours Baby Challenge y otras historias divertidas~520,044~0~2~64~https://www.youtube.com/watch?v=3D4SzSiLMhcns
Nastya aprende sobre los 5 sentidos y otras historias escolares para ni=C3=B1os.~525,031~0~2~64~https://www.youtube.com/watch?v=3DVyuw3j67bno
Nastya juega juegos divertidos con los ni=C3=B1os. Desaf=C3=ADo para ni=C3=B1os de Nastya~560,384~0~2~71~https://www.youtube.com/watch?v=3Do06ExpXm4NM
Nastya e historias sobre competencia y amistad. Las mejores historias para ni=C3=B1os de Nastya y pap=C3=A1.~3,301,836~0~2~71~https://www.youtube.com/watch?v=3DzME1g0Rk5ak
Nastya juega Pink vs Black Challenge con Wednesday~1,515,951~0~2~78~https://www.youtube.com/watch?v=3DQoXh9VrIzck
Nastya aprende sobre diferentes culturas y otras historias interesantes para ni=C3=B1os en espa=C3=B1ol~832,634~0~3~80~https://www.youtube.com/watch?v=3DKnlyDUko55U
Nastya y divertidas aventuras con amigas. Nueva colecci=C3=B3n de videos en espa=C3=B1ol para ni=C3=B1os~1,352,576~0~3~80~https://www.youtube.com/watch?v=3DwJNCDD3J_XA
Desaf=C3=ADo de cajas de colores misteriosas de Nastya~577,601~0~3~80~https://www.youtube.com/watch?v=3DMvwTcJVp8F4
Nastya y pap=C3=A1 muestran h=C3=A1bitos saludables y otras historias =C3=BAtiles para ni=C3=B1os en espa=C3=B1ol~436,703~0~3~80~https://www.youtube.com/watch?v=3DGhopWWVATBA
Nastya aprende a cocinar con pap=C3=A1 y otros cuentos para ni=C3=B1os en espa=C3=B1ol~750,895~0~3~80~https://www.youtube.com/watch?v=3Dx-XfP1S83qQ
Nastya y pap=C3=A1 Viaje familiar a =C3=81frica~447,498~0~3~80~https://www.youtube.com/watch?v=3D4aJ1yqfgcUg
Nastya y sus amigos en una nueva aventura juntos. Nueva colecci=C3=B3n para ni=C3=B1os en espa=C3=B1ol~886,179~0~3~80~https://www.youtube.com/watch?v=3DJMpmLJPmDa8
Nastya y el desaf=C3=ADo caliente vs fr=C3=ADo con pap=C3=A1~972,563~0~3~80~https://www.youtube.com/watch?v=3DoqBelX06jjA
