title~views~uptime_y~uptime_m~uptime_d~link
Nastya and her funny Halloween stories for kids~1,460,958~0~1~36~https://www.youtube.com/watch?v=3DIOP26R3QcRw
Nastya and Not So Spooky Halloween for kids~2,075,135~0~1~39~https://www.youtube.com/watch?v=3Dfh5ZSMduzrs
Nastya and the Barbie's escape rooms~1,865,867~0~1~41~https://www.youtube.com/watch?v=3DKvL68T6YUJ8
Nastya and her Back to School Funny Story~4,498,662~0~1~54~https://www.youtube.com/watch?v=3DMnfudK2VZ_E
Nastya becomes a Barbie in Real life~8,600,467~0~2~63~https://www.youtube.com/watch?v=3DMi6zkvnqolg
Nastya and her funny Vlog in Prague~3,499,574~0~2~63~https://www.youtube.com/watch?v=3DueZufFVx7e8
Nastya and day off with her family~7,021,533~0~2~63~https://www.youtube.com/watch?v=3DIgRRqj_DJqE
Nastya takes care of new pets Bitzee~3,958,974~0~3~94~https://www.youtube.com/watch?v=3Dkeq6koHGPs0
Nastya Plays with Dad &amp; More Kids Stories~14,868,774~0~3~94~https://www.youtube.com/watch?v=3DY2i5v1RIUYE
Nastya entertains her parents~12,649,735~0~3~94~https://www.youtube.com/watch?v=3DvsjWPAR8P_8
Nastya and Dad escape the maze and other funny stories for kids~6,205,208~0~4~125~https://www.youtube.com/watch?v=3DGtqv5pxrvJM
Nastya ABC Song and more Music Videos for kids~12,083,316~0~4~125~https://www.youtube.com/watch?v=3Ddx2_0pVvV2U
Nastya and useful summer Stories for kids~7,503,281~0~4~125~https://www.youtube.com/watch?v=3DXEcP3JMd-aU
Nastya and her adventures around the world~5,458,767~0~5~155~https://www.youtube.com/watch?v=3D6CXVFYUNJwY
Nastya and her friends decorate playhouses and other adventures of friends.~46,529,028~0~5~155~https://www.youtube.com/watch?v=3DeajyO-X5SH0
Nastya and new useful stories for kids about behavior and friendship~34,109,622~0~5~155~https://www.youtube.com/watch?v=3D7KhI22Hzlpw
Nastya Hepls Dad Escape the Maze~12,948,882~0~5~155~https://www.youtube.com/watch?v=3DNLXPtIWNEG0
