title~views~since_upload~link
Drew House TOKYO #shorts~1,277,588~10 months ago 42 seconds~https://www.youtube.com/watch?v=3Dz5AIMF1BjOE
Justin Bieber X Free Fire - Beautiful Love (Free Fire) [Official Video]~6,824,279~1 year ago 3 minutes, 33 seconds~https://www.youtube.com/watch?v=3D_lpSCOZ1PCo
Justin Bieber, Don Toliver - The Making of 'Honest' (Vevo Footnotes)~3,992,372~1 year ago 3 minutes, 32 seconds~https://www.youtube.com/watch?v=3DZMH9AMwAk34
Justin Bieber - Honest (feat. Don Toliver) (Official Lyric Video)~2,494,560~1 year ago 3 minutes, 14 seconds~https://www.youtube.com/watch?v=3Djur26nGiqOY
Justin Bieber - Honest ft. Don Toliver~36,235,311~1 year ago 3 minutes, 32 seconds~https://www.youtube.com/watch?v=3Dn1khwOk5dN8
Justin Bieber - The Justice Tour Represents Equality for ALL~1,328,557~1 year ago 3 minutes, 24 seconds~https://www.youtube.com/watch?v=3D5MQzBE-KJVY
Justin Bieber &amp; Omah Lay - Attention (Official Video)~10,262,286~1 year ago 3 minutes, 8 seconds~https://www.youtube.com/watch?v=3DkF4QRGQM2ig
Justin Bieber - Only Thing I Ever Get For Christmas (Lyric Video)~2,617,082~1 year ago 3 minutes, 13 seconds~https://www.youtube.com/watch?v=3DQrV1I0L5rqQ
Justin Bieber - Silent Night (Lyric Video)~980,395~1 year ago 2 minutes, 50 seconds~https://www.youtube.com/watch?v=3Dqy-1tyX9_QU
Justin Bieber - Christmas Eve (Lyric Video)~827,708~1 year ago 3 minutes, 48 seconds~https://www.youtube.com/watch?v=3Df5wl2uo8dGU
The Christmas Song (Chestnuts Roasting On An Open Fire) (Lyric Video)~503,511~1 year ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3D5Vjxlwjs7vc
Justin Bieber - Drummer Boy (Lyric Video) ft. Busta Rhymes~819,568~1 year ago 3 minutes, 46 seconds~https://www.youtube.com/watch?v=3Dk8IlIC7lasU
Justin Bieber - Someday At Christmas~637,620~1 year ago 2 minutes, 57 seconds~https://www.youtube.com/watch?v=3DNToPWDAjeVA
Justin Bieber - Home This Christmas (Lyric Video) ft. The Band Perry~540,390~1 year ago 3 minutes, 25 seconds~https://www.youtube.com/watch?v=3DX1LVouBkBMY
Justin Bieber - Christmas Love~8,817,451~1 year ago 3 minutes, 33 seconds~https://www.youtube.com/watch?v=3Dd_xYl5hpiRs
Justin Bieber - The Making Of 'Ghost' (Vevo Footnotes)~684,891~1 year ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3DSuY0xJ1SsKg
Wave Presents: Justin Bieber - An Interactive Virtual Experience~1,388,389~1 year ago 32 minutes~https://www.youtube.com/watch?v=3DUAhGvhvcoyY
Justin Bieber and Michael D. Ratner: The Making of =E2=80=9COur World=E2=80=9D - A Conversation with Jason Kennedy~699,817~1 year ago 3 minutes, 10 seconds~https://www.youtube.com/watch?v=3Dw3uYy67vuH4
