title~views~since_upload~link
The World's First Square Bike | OT41~6,018,757~10 days ago 27 minutes~https://www.youtube.com/watch?v=3DUGz1AbmJIuU
Road Trip Stereotypes~6,574,493~3 weeks ago 12 minutes, 7 seconds~https://www.youtube.com/watch?v=3D9o__c8wNd3I
Ultimate RC Mini Games Battle~6,403,737~1 month ago 12 minutes, 9 seconds~https://www.youtube.com/watch?v=3DmuUL8kOqeyE
We Bought a Premier League Team! | OT 40~5,799,693~1 month ago 22 minutes~https://www.youtube.com/watch?v=3DOPoqBIEvoj0
Angry Birds in Real Life~6,386,008~2 months ago 10 minutes, 58 seconds~https://www.youtube.com/watch?v=3DaB2wvo7PEq4
The Survivor Games~8,924,888~2 months ago 21 minutes~https://www.youtube.com/watch?v=3Dkd-ABokZCkA
Golf World Records~5,599,443~3 months ago 12 minutes, 5 seconds~https://www.youtube.com/watch?v=3DQ_eXhFMjBgA
$50,000 Crystal Treasure Hunt~7,286,043~3 months ago 13 minutes, 58 seconds~https://www.youtube.com/watch?v=3DeFmpqhvedt8
We Made a REAL Plasma Blaster | OT39~8,790,731~4 months ago 22 minutes~https://www.youtube.com/watch?v=3DNt240HomM7U
Neighborhood Stereotypes~13,830,485~4 months ago 11 minutes, 41 seconds~https://www.youtube.com/watch?v=3DOdU_emI6KrE
World's Highest Basketball Shot~7,511,264~4 months ago 17 minutes~https://www.youtube.com/watch?v=3DR8LiwncUVnM
Craziest Ways To Catch a Fish! (No Poles Allowed)~8,362,388~5 months ago 13 minutes, 11 seconds~https://www.youtube.com/watch?v=3DT2fxrJ6ZmfY
Pickleball Trick Shots~6,047,673~6 months ago 11 minutes, 18 seconds~https://www.youtube.com/watch?v=3DZYW2lWLpLuo
World's Strongest Dude~17,183,921~6 months ago 13 minutes, 51 seconds~https://www.youtube.com/watch?v=3DEy_vGhau7ho
World's Brightest Flashlight | OT38~9,935,114~6 months ago 25 minutes~https://www.youtube.com/watch?v=3DmoIuur9GUws
Hotel Stereotypes~19,352,848~7 months ago 12 minutes, 13 seconds~https://www.youtube.com/watch?v=3DzPlsnWq5X50
Can We Outrun a Police Dog? | Animal Olympics~13,100,636~8 months ago 14 minutes, 50 seconds~https://www.youtube.com/watch?v=3DpLlOkqBoZK4
Ultimate Mini Games Battle 3~17,046,737~8 months ago 12 minutes, 31 seconds~https://www.youtube.com/watch?v=3Dz_lgjFAxP6c
Dude Perfect vs. Luka Doncic (1-on-1)~16,274,419~9 months ago 22 minutes~https://www.youtube.com/watch?v=3Dn_DtpY9wbGg
Dude Perfect's $100 Million Theme Park~12,907,997~10 months ago 23 minutes~https://www.youtube.com/watch?v=3DZyHm55m7t-4
Deep Sea Fishing Battle 2~8,597,679~10 months ago 13 minutes, 39 seconds~https://www.youtube.com/watch?v=3D_ZMMlr6vWm8
Thanksgiving Stereotypes~16,401,503~10 months ago 11 minutes, 3 seconds~https://www.youtube.com/watch?v=3Dr1mhvegC6is
Dude Perfect Goes to SPACE~34,259,651~11 months ago 13 minutes, 10 seconds~https://www.youtube.com/watch?v=3DYXXlSG-du7c
Gun Game Airsoft Battle~10,496,495~11 months ago 14 minutes, 15 seconds~https://www.youtube.com/watch?v=3DhF6X2ap_6Q8
Wedding Stereotypes~14,990,394~1 year ago 11 minutes, 16 seconds~https://www.youtube.com/watch?v=3DetV_nxVU6l8
Archery World Records~11,461,555~1 year ago 7 minutes, 51 seconds~https://www.youtube.com/watch?v=3D_snnKw-EywM
Loser Gets Full Body Casted | OT 35~12,416,969~1 year ago 21 minutes~https://www.youtube.com/watch?v=3DDK0xCH--t8k
Ultimate Mini Games Battle 2~24,439,609~1 year ago 12 minutes, 23 seconds~https://www.youtube.com/watch?v=3DehPugxlo_oY
World's Longest Trick Shot Machine~11,172,254~1 year ago 10 minutes, 22 seconds~https://www.youtube.com/watch?v=3D_YUc8tXDjxQ
Model Rocket Battle 3 | Dude Perfect~37,488,759~1 year ago 10 minutes, 38 seconds~https://www.youtube.com/watch?v=3DvenrE8gdz30
Real Life Invisibility Shield | OT34~14,546,613~1 year ago 15 minutes~https://www.youtube.com/watch?v=3Ds1tEvufgEyU
RC Edition 2 | Dude Perfect~14,702,508~1 year ago 8 minutes, 27 seconds~https://www.youtube.com/watch?v=3D7VzDrqjhcXs
New Parent Stereotypes~27,800,033~1 year ago 10 minutes, 49 seconds~https://www.youtube.com/watch?v=3D_CH8uu3L4D0
Treasure Hunting Battle: Crystals~17,682,244~1 year ago 10 minutes, 54 seconds~https://www.youtube.com/watch?v=3DpQuk3t2aeBo
Ultimate Mini Games Battle~40,426,897~1 year ago 9 minutes, 34 seconds~https://www.youtube.com/watch?v=3DDZcRaZ-nDeA
All Sports Golf Battle 5 | Dude Perfect~15,119,886~1 year ago 11 minutes, 18 seconds~https://www.youtube.com/watch?v=3DheIKaaamvdc
Unpredictable Trick Shots 2~26,436,230~1 year ago 8 minutes, 27 seconds~https://www.youtube.com/watch?v=3DGsLopdvhFpk
Airplane Stereotypes~37,203,035~1 year ago 9 minutes, 44 seconds~https://www.youtube.com/watch?v=3DUoVNtD-0kTI
Cup Trick Shots | Dude Perfect~16,394,920~1 year ago 4 minutes, 51 seconds~https://www.youtube.com/watch?v=3DLDKDyn_D9pQ
World's Longest T-Shirt Launch | OT 33~15,111,589~1 year ago 19 minutes~https://www.youtube.com/watch?v=3DXixpb9qEDw0
Snow Sniper Airsoft Battle~21,356,358~1 year ago 10 minutes, 1 second~https://www.youtube.com/watch?v=3D3QwpRXR-IUc
Exploding Christmas Presents | OT 32~11,988,048~1 year ago 15 minutes~https://www.youtube.com/watch?v=3DYJljg4t-LGI
Whoever DESTROYS THEIR CAR MOST Wins | OT 31~20,861,780~1 year ago 19 minutes~https://www.youtube.com/watch?v=3D6fBqGUaJ0tc
