title~views~since_upload~link
Katy Perry - I Think I'm Ready (Remixed / Remastered 2023 / Visualizer)~527,020~3 months ago 2 minutes, 37 seconds~https://www.youtube.com/watch?v=3DWSo7XWATPs4
Katy Perry - A Cup Of Coffee (Remixed / Remastered 2023 / Visualizer)~190,423~3 months ago 4 minutes, 17 seconds~https://www.youtube.com/watch?v=3DHLNENWkNDhA
Katy Perry: By The Grace of God x Haven Madison: Still Need You (American Idol Finale Duet)~146,368~4 months ago 2 minutes, 24 seconds~https://www.youtube.com/watch?v=3DCWOqqjO3VnQ
Katy Perry - The Making of 'Cozy Little Christmas' (Vevo Footnotes)~1,352,221~10 months ago 3 minutes, 4 seconds~https://www.youtube.com/watch?v=3DDm7iAWk9aLU
Thomas Rhett &amp; Katy Perry - Where We Started | LIVE @ CMA Awards~257,532~11 months ago 3 minutes, 5 seconds~https://www.youtube.com/watch?v=3Dd8GuVx--bsk
Thomas Rhett, Katy Perry - Where We Started (Behind The Stills)~297,953~11 months ago 3 minutes, 5 seconds~https://www.youtube.com/watch?v=3DtpbNnXYDwmg
#PLAY - Road to Residency: Vegas~345,946~1 year ago 4 minutes, 20 seconds~https://www.youtube.com/watch?v=3D903i4dEZZTA
#PLAY&nbsp;- Road to Residency: Between The Acts~293,889~1 year ago 2 minutes, 59 seconds~https://www.youtube.com/watch?v=3DVOT-iMaI9wU
#PLAY - Road to Residency: Music~158,666~1 year ago 2 minutes, 12 seconds~https://www.youtube.com/watch?v=3Df-tPtKJujrY
#PLAY&nbsp;- Road to Residency: LEWKS~208,423~1 year ago 2 minutes, 50 seconds~https://www.youtube.com/watch?v=3DJZXrkS6KPT4
Katy Perry &amp; Thomas Rhett: Where We Started (American Idol Finale Duet)~186,794~1 year ago 3 minutes, 3 seconds~https://www.youtube.com/watch?v=3DcxrBGdX2Mkg
Katy Perry: Firework (American Idol Finale Duet with Leah Marlene)~241,504~1 year ago 2 minutes, 52 seconds~https://www.youtube.com/watch?v=3DBB3NbKreEIc
Jimmy Kimmel, Katy Perry - Yum Yum Nom Nom Toot Toot Poop~1,532,570~1 year ago 2 minutes~https://www.youtube.com/watch?v=3Dal72T0ju-e4
#PLAY - Road to Residency: Stage =F0=9F=8E=80 =F0=9F=9A=BD =F0=9F=8D=84 =F0=9F=97=91 =E2=9C=A8 =F0=9F=8C=88~229,535~1 year ago 2 minutes, 14 seconds~https://www.youtube.com/watch?v=3DHTqqrBozTig
#PLAY - Road to Residency: The Story =F0=9F=8D=84 =E2=99=A5=EF=B8=8F~488,961~1 year ago 2 minutes, 59 seconds~https://www.youtube.com/watch?v=3DDu-iOIQSCuA
#PLAY - Road to Residency: Opening Night =F0=9F=8E=89 =F0=9F=8D=84~585,776~1 year ago 5 minutes, 21 seconds~https://www.youtube.com/watch?v=3D-tsynSpM0G4
Alesso, Katy Perry - When I'm Gone (Visualizer)~833,798~1 year ago 2 minutes, 39 seconds~https://www.youtube.com/watch?v=3DXBGOkh3TypI
Alesso &amp; Katy Perry - When I'm Gone (Live on Saturday Night Live)~1,042,213~1 year ago 2 minutes, 51 seconds~https://www.youtube.com/watch?v=3Dled8kSxI4DA
Katy Perry - Never Really Over (Acoustic / Live on Saturday Night Live)~821,542~1 year ago 3 minutes, 23 seconds~https://www.youtube.com/watch?v=3Dq2K8osIuXkM
Alesso, Katy Perry - The Making Of 'When I'm Gone' | Vevo Footnotes~340,390~1 year ago 3 minutes~https://www.youtube.com/watch?v=3DdqyJkYq3P24
Alesso, Katy Perry - =E2=80=9CWhen I=E2=80=99m Gone=E2=80=9D Video Premiere Chat~162,289~1 year ago 15 minutes~https://www.youtube.com/watch?v=3D9neu1sD84yQ
Alesso, Katy Perry - When I'm Gone (Official Music Video)~32,662,094~1 year ago 2 minutes, 57 seconds~https://www.youtube.com/watch?v=3DN-4YMlihRf4
When I'm Gone (Alesso &amp; Katy Perry) / Walking On Air Medley Live from PLAY Las Vegas~2,127,739~1 year ago 4 minutes, 12 seconds~https://www.youtube.com/watch?v=3D76OSg6z1Wys
Katy Perry - All You Need Is Love (Visualizer)~1,696,358~1 year ago 3 minutes, 27 seconds~https://www.youtube.com/watch?v=3DaIORpvTVTfg
Katy Perry x BEHR =E2=80=93 Katy in Color~920,490~2 years ago 1 minute, 1 second~https://www.youtube.com/watch?v=3D9pFnNgHv3Cc
Katy Perry - Electric (Behind The Scenes)~1,885,173~2 years ago 3 minutes, 44 seconds~https://www.youtube.com/watch?v=3DNLycJCpGrrg
Katy Perry: Thinking Of You (American Idol Finale Duet with Hunter Metts)~1,076,363~2 years ago 3 minutes, 27 seconds~https://www.youtube.com/watch?v=3DxhC1AB-Wwog
Katy Perry - Electric~49,927,797~2 years ago 3 minutes, 22 seconds~https://www.youtube.com/watch?v=3DojpTpT5i-PI
Katy Perry, Lu=C3=ADsa Sonza, Bruno Martini - Cry About It Later (Lyric Video)~3,192,536~2 years ago 2 minutes, 40 seconds~https://www.youtube.com/watch?v=3D-jlYtfces-Q
Katy Perry - Firework (Live from Celebrating America Inauguration Special)~13,142,344~2 years ago 4 minutes, 27 seconds~https://www.youtube.com/watch?v=3DqNZ8XCobUUM
Katy Perry - Not the End of the World (Official Music Video)~26,045,088~2 years ago 3 minutes, 54 seconds~https://www.youtube.com/watch?v=3DIKKbboquS9s
I'll Be Home For Christmas / Cozy Little Christmas (Official Disney Holiday Singalong)~799,050~2 years ago 2 minutes, 40 seconds~https://www.youtube.com/watch?v=3D_C-mshJDLXs
Katy Perry, Darius Rucker - Only Love (Live From The AMA=E2=80=99s /2020)~1,323,142~2 years ago 4 minutes, 28 seconds~https://www.youtube.com/watch?v=3D8uhczwQx9kw
Katy Perry - Never Really Over/Not The End Of The World/Roar Medley (Live at T Mall Double 11 Gala)~2,458,652~2 years ago 5 minutes, 17 seconds~https://www.youtube.com/watch?v=3DFFSmzwnjNSM
Katy Perry, Ti=C3=ABsto, Aitana - Resilient (Ti=C3=ABsto Remix) (Official #OpenToBetter Film)~9,851,338~2 years ago 3 minutes, 25 seconds~https://www.youtube.com/watch?v=3DKJvmdDBrXNU
