title~views~since_upload~link
XXXTENTACION - Snow (Official Audio)~740,085~1 month ago 1 minute, 51 seconds~https://www.youtube.com/watch?v=3DnKEv0f0NdYc
XXXTENTACION - Manikin (Official Audio)~379,812~1 month ago 3 minutes, 3 seconds~https://www.youtube.com/watch?v=3DQeZUmuirlqM
XXXTENTACION - ILuvMyCliqueLikeKanyeWest (Official Audio)~254,056~1 month ago 3 minutes, 2 seconds~https://www.youtube.com/watch?v=3D1skhhWnxZx4
XXXTENTACION &amp; Lil Uzi Vert - I'm Not Human (Official Audio)~2,151,305~3 months ago 3 minutes, 16 seconds~https://www.youtube.com/watch?v=3Duc9MHQtJDAs
XXXTENTACION - Let's Pretend We're Numb (Official Audio)~1,457,064~4 months ago 1 minute, 21 seconds~https://www.youtube.com/watch?v=3Dhyiku5iCJeU
XXXTENTACION - Let's Pretend We're Numb (Official Trailer)~1,220,805~4 months ago 28 seconds~https://www.youtube.com/watch?v=3DL_BgfkJtU-A
XXXTENTACION - VERY RARE FOREVER FREESTYLE (Official Audio)~2,180,375~8 months ago 1 minute, 35 seconds~https://www.youtube.com/watch?v=3DJlcahUU_NwY
XXXTENTACION - WitDemDicks! (Official Audio)~2,705,923~10 months ago 1 minute, 13 seconds~https://www.youtube.com/watch?v=3DGIeYx-huuUA
XXXTENTACION: IN HIS OWN WORDS (OFFICIAL TRAILER)~1,955,494~11 months ago 36 seconds~https://www.youtube.com/watch?v=3D_afCucJNyQ0
&quot;In His Own Words: XXXTENTACION&quot;~1,874,229~11 months ago 1 minute, 1 second~https://www.youtube.com/watch?v=3D0n1bu8o_jXc
XXXTENTACION - Willy Wonka Was a Child Murderer (Official Audio)~2,981,396~1 year ago 1 minute, 52 seconds~https://www.youtube.com/watch?v=3Ds1qMre0Il0c
XXXTENTACION - FUXK (feat. Ski Mask The Slump God)(Official Audio)~1,782,664~1 year ago 2 minutes, 44 seconds~https://www.youtube.com/watch?v=3DWkbx8qYjU8Q
XXXTENTACION - I spoke to the devil in miami, he said everything would be fine (Official Audio)~2,115,342~1 year ago 3 minutes, 3 seconds~https://www.youtube.com/watch?v=3DJTbMeUmQuWY
